Sample	City	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Macromolecule-Modification	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	2.0	3.0	1.0	673.0	1.0	444.0	13.0	49.0	26.0	0.0	2.0	4.0	10.0	7.0
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	2.0	3.0	1.0	688.0	1.0	487.0	12.0	52.0	26.0	0.0	2.0	4.0	12.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	2.0	3.0	1.0	657.0	1.0	416.0	10.0	45.0	21.0	0.0	2.0	5.0	9.0	7.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	1.0	3.0	1.0	657.0	1.0	433.0	11.0	44.0	22.0	0.0	2.0	4.0	8.0	7.0
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	3.0	3.0	1.0	609.0	1.0	352.0	8.0	41.0	20.0	0.0	2.0	5.0	7.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	3.0	3.0	1.0	712.0	1.0	495.0	14.0	46.0	23.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	3.0	3.0	1.0	564.0	1.0	299.0	7.0	37.0	15.0	0.0	2.0	4.0	6.0	4.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	2.0	3.0	1.0	688.0	1.0	443.0	13.0	43.0	20.0	0.0	2.0	4.0	11.0	6.0
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	2.0	3.0	1.0	686.0	1.0	504.0	11.0	44.0	22.0	0.0	2.0	4.0	11.0	7.0
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	2.0	3.0	1.0	656.0	1.0	384.0	11.0	42.0	19.0	0.0	2.0	4.0	11.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	2.0	3.0	1.0	660.0	1.0	465.0	10.0	48.0	21.0	0.0	2.0	4.0	11.0	6.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	1.0	3.0	1.0	648.0	1.0	409.0	10.0	42.0	20.0	0.0	2.0	4.0	10.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	1.0	3.0	1.0	661.0	1.0	413.0	10.0	41.0	20.0	0.0	2.0	4.0	10.0	5.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	1.0	3.0	1.0	665.0	1.0	410.0	12.0	44.0	20.0	0.0	2.0	5.0	11.0	5.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	2.0	3.0	0.0	471.0	1.0	255.0	8.0	41.0	19.0	0.0	2.0	5.0	9.0	5.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	2.0	3.0	1.0	723.0	1.0	523.0	14.0	52.0	30.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	1.0	3.0	1.0	676.0	1.0	434.0	10.0	50.0	23.0	0.0	2.0	5.0	11.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	3.0	3.0	1.0	728.0	1.0	503.0	15.0	46.0	27.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	2.0	3.0	1.0	700.0	1.0	476.0	15.0	54.0	28.0	1.0	2.0	5.0	10.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	2.0	3.0	1.0	704.0	1.0	476.0	12.0	54.0	30.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_15	BER	3.0	3.0	1.0	744.0	1.0	540.0	16.0	56.0	27.0	0.0	2.0	5.0	11.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_2	BER	1.0	3.0	0.0	444.0	1.0	197.0	4.0	36.0	16.0	0.0	2.0	5.0	9.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_3	BER	1.0	3.0	0.0	312.0	0.0	101.0	2.0	15.0	12.0	0.0	2.0	2.0	6.0	2.0
CAMDA23_MetaSUB_gCSD16_BER_4	BER	1.0	3.0	1.0	459.0	1.0	226.0	6.0	35.0	16.0	0.0	2.0	4.0	10.0	4.0
CAMDA23_MetaSUB_gCSD16_BER_5	BER	2.0	3.0	0.0	567.0	1.0	343.0	6.0	38.0	20.0	0.0	2.0	5.0	6.0	5.0
CAMDA23_MetaSUB_gCSD16_BER_6	BER	1.0	3.0	0.0	294.0	1.0	114.0	1.0	22.0	9.0	0.0	1.0	0.0	4.0	4.0
CAMDA23_MetaSUB_gCSD16_BER_7	BER	1.0	1.0	0.0	278.0	0.0	127.0	5.0	27.0	11.0	0.0	2.0	3.0	8.0	4.0
CAMDA23_MetaSUB_gCSD16_BER_8	BER	2.0	3.0	0.0	683.0	1.0	454.0	15.0	45.0	22.0	1.0	2.0	5.0	11.0	7.0
CAMDA23_MetaSUB_gCSD16_BER_9	BER	3.0	3.0	1.0	745.0	1.0	521.0	14.0	53.0	30.0	2.0	2.0	5.0	11.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_1	BOG	3.0	3.0	1.0	764.0	1.0	576.0	16.0	56.0	29.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_10	BOG	3.0	3.0	1.0	766.0	1.0	574.0	16.0	60.0	28.0	2.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_11	BOG	2.0	3.0	1.0	735.0	1.0	534.0	16.0	54.0	25.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_12	BOG	3.0	3.0	1.0	751.0	1.0	558.0	15.0	54.0	28.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_13	BOG	3.0	3.0	1.0	759.0	1.0	557.0	14.0	56.0	29.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_14	BOG	3.0	3.0	1.0	757.0	1.0	576.0	16.0	56.0	29.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_15	BOG	3.0	3.0	1.0	758.0	1.0	559.0	14.0	55.0	28.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_16	BOG	3.0	3.0	1.0	757.0	1.0	569.0	14.0	55.0	28.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_2	BOG	2.0	3.0	1.0	748.0	1.0	561.0	16.0	53.0	24.0	0.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_3	BOG	3.0	3.0	1.0	764.0	1.0	573.0	16.0	52.0	29.0	2.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_4	BOG	3.0	3.0	1.0	734.0	1.0	522.0	15.0	51.0	28.0	1.0	2.0	5.0	12.0	7.0
CAMDA23_MetaSUB_gCSD16_BOG_5	BOG	3.0	3.0	1.0	775.0	1.0	573.0	15.0	56.0	28.0	1.0	2.0	5.0	12.0	7.0
