	City	1	2	3	4	5	6
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	57488.0	85620.0	50818.0	30424.0	20820.0	29818.0
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	77603.0	115631.0	57104.0	39696.0	30498.0	44270.0
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	40418.0	61848.0	39391.0	25959.0	16678.0	23695.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	28961.0	43737.0	29327.0	16785.0	11001.0	17575.0
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	61297.0	89927.0	49834.0	41394.0	23732.0	34393.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	88108.0	154106.0	94902.0	46302.0	36043.0	45531.0
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	74310.0	110127.0	65041.0	38202.0	24101.0	35130.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	176780.0	380008.0	235950.0	105271.0	81639.0	92550.0
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	106490.0	198521.0	118997.0	60828.0	46307.0	57268.0
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	193338.0	437469.0	272032.0	117675.0	97644.0	108483.0
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	110483.0	174103.0	100350.0	67122.0	38239.0	58456.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	110362.0	209247.0	124997.0	59422.0	47630.0	61018.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	131075.0	248050.0	146470.0	70210.0	56648.0	72809.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	168026.0	362798.0	219552.0	95848.0	80619.0	97429.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	15161.0	24479.0	13492.0	8617.0	5847.0	9430.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	211332.0	311835.0	176170.0	109415.0	77060.0	114109.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	135349.0	134412.0	94271.0	54532.0	28895.0	47878.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	233336.0	326878.0	195548.0	118872.0	80129.0	123107.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	207742.0	250068.0	159528.0	96546.0	55896.0	93207.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	133726.0	238387.0	117684.0	75629.0	63434.0	89432.0
CAMDA23_MetaSUB_gCSD16_BER_15	BER	959445.0	1455498.0	736977.0	438880.0	336366.0	489057.0
CAMDA23_MetaSUB_gCSD16_BER_2	BER	22032.0	30669.0	18015.0	11067.0	7586.0	11470.0
CAMDA23_MetaSUB_gCSD16_BER_3	BER	12100.0	21140.0	11423.0	7386.0	4980.0	8370.0
CAMDA23_MetaSUB_gCSD16_BER_4	BER	8815.0	16011.0	7678.0	5105.0	4410.0	6044.0
CAMDA23_MetaSUB_gCSD16_BER_5	BER	28546.0	40212.0	19970.0	13575.0	10758.0	15908.0
CAMDA23_MetaSUB_gCSD16_BER_6	BER	9938.0	17183.0	9116.0	5806.0	3939.0	6536.0
CAMDA23_MetaSUB_gCSD16_BER_7	BER	24243.0	36746.0	21889.0	13359.0	8900.0	14714.0
CAMDA23_MetaSUB_gCSD16_BER_8	BER	88499.0	117737.0	71154.0	41669.0	28111.0	42119.0
CAMDA23_MetaSUB_gCSD16_BER_9	BER	218776.0	372301.0	188488.0	121269.0	97079.0	138786.0
CAMDA23_MetaSUB_gCSD16_BOG_1	BOG	329721.0	526704.0	288334.0	185621.0	127919.0	203434.0
CAMDA23_MetaSUB_gCSD16_BOG_10	BOG	308300.0	549205.0	289860.0	187306.0	138056.0	198935.0
CAMDA23_MetaSUB_gCSD16_BOG_11	BOG	189120.0	306724.0	168741.0	106373.0	74169.0	117538.0
CAMDA23_MetaSUB_gCSD16_BOG_12	BOG	201072.0	326955.0	182291.0	113566.0	79055.0	121206.0
CAMDA23_MetaSUB_gCSD16_BOG_13	BOG	242074.0	401930.0	218189.0	136863.0	97352.0	150633.0
CAMDA23_MetaSUB_gCSD16_BOG_14	BOG	351580.0	563039.0	307989.0	201680.0	131630.0	221758.0
CAMDA23_MetaSUB_gCSD16_BOG_15	BOG	242915.0	391654.0	212097.0	137129.0	93119.0	147631.0
CAMDA23_MetaSUB_gCSD16_BOG_16	BOG	261704.0	436595.0	237462.0	151236.0	106892.0	166789.0
