PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY-7270	4.2.1.109	5-methylthioribulose-1-phosphate dehydratase
PWY-6755	4.2.1.109	5-methylthioribulose-1-phosphate dehydratase
PWY-6219	6.3.-.-	indole-3-acetyl-alanine synthetase
PWY-6952	3.1.4.46	glycerophosphoryl diester phosphodiesterase, periplasmic
LARABITOLUTIL-PWY	1.1.1.9	D-xylitol dehydrogenase
PWY-6643	2.5.1.76	cysteate synthase
PWY-2582	1.14.13.112	(22S)-22-hydroxy-5alpha-campestan-3-one C-23 hydroxylase
PWY-5971	2.3.1.41	&beta;-ketooctanoyl-[acp] synthase
PWY-6405	3.1.3.80	2,3-bisphosphoglycerate 3-phosphatase
PWY-7423	1.14.19.5	palmitoyl-CoA <i>Z</i>11-desaturase
PWY-6944	3.7.1.17	4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
PWY-7282	2.7.1.35	pyridoxal kinase
PWY-7204	2.7.1.35	pyridoxal kinase
PLPSAL-PWY	2.7.1.35	pyridoxal kinase
PWY-7487	2.4.1.-	(+)-secoisolariciresinol monoglucoside glucosyltransferase
PWY-7484	1.14.13.-	cytochrome P450 dependent <i>ent</i>-cassadiene 3-hydroxylase
PWY-6786	1.1.1.54	acrolein aldehyde reductase
PWY-7423	1.2.1.-	(10<i>E</i>,12<i>Z</i>)-10,12-hexadecadienoyl-CoA reductase
PWY-5307	2.4.1.238	UDP-D-glucose:delphinidin-3,5-diglucoside -O-&beta;-D-glucosyltransferase
PWY-2582	1.14.13.-	campesterol,NADPH:oxygen oxidoreductase
PWY-6948	2.3.1.16	3-oxoacyl CoA thiolase
PWY-6946	2.3.1.16	3-oxoacyl CoA thiolase
PWY-6945	2.3.1.16	3-oxoacyl CoA thiolase
PWY-6944	1.3.99.4	androst-4-en-3,17-dione 1-dehydrogenase
OXIDATIVEPENT-PWY-1	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
PWY-7268	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
OXIDATIVEPENT-PWY	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
RUMP-PWY	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
P122-PWY	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
GLYCOLYSIS-E-D	1.1.1.49	glucose 6-phosphate-1-dehydrogenase
PWY-5305	2.1.1.-	bixin methyltransferase
PWY-6627	2.6.1.-	3-[(1<i>S</i>)-cyclohex-3-en-1-yl)]-2-oxopropanoate aminotransferase
PWY-6634	1.1.1.308	sulfopropanediol 3-dehydrogenase
PWY-7312	5.4.99.59	dTDP-fucopyranose mutase
PWY-6627	1.1.1.-	chloroethylmalonyl-CoA decarboxylase
PWY-5636	1.14.13.31	2-nitrophenol 2-monooxygenase
PWY-5168	1.2.1.-	sinapaldehyde:NAD(P)+ oxidoreductase
PWY-6634	1.1.1.-	(<i>R</i>)-sulfopropanediol 2-dehydrogenase
PWY-6634	1.1.1.-	(<i>S</i>)-sulfopropanediol 2-dehydrogenase
PWY-5161	2.4.1.-	isoliquiritigenin 4'-glucosyltransferase
PWY-1901	2.4.1.-	butein 4'-glucosyltransferase
PWY-5161	2.4.1.-	butein 4'-glucosyltransferase
PWY-5826	2.6.1.-	&beta;-methylenecyclopropyl-pyruvate aminotransferase
PWY-1741	2.3.1.72	indole-3-acetyl-&beta;-1-D-glucoside:<i>myo</i>-inositol indoleacetyltransferase
