"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues"
"ARO.3000167",0.525774043603173,53.1045299020045,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002847",0.99127329465308,108.643815265923,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"mrkb",0.990276550720581,93.0528991579901,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"enta",0.525774043603173,46.7177851123549,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fepa",0.182782258282773,23.6256997672179,"NYC","MIN","NYC_vs_MIN",0.666509042829103
"cyca",0.103827561654807,15.3827819558328,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"csge",0.0270191231674356,84.1429057543329,"NYC","MIN","NYC_vs_MIN",0.168170749369729
"iucc",0.994944214636263,49.2505185404322,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"espx6",0.000388503582232673,15.9010322196886,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"hlya",0.99700226487341,23.7145565542443,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fliz",0.0311417623189442,87.1262787100568,"NYC","MIN","NYC_vs_MIN",0.181325422534502
"papc",0.103827561654807,15.9664621210337,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"ARO.3000174",0.674996004725273,62.3897953918164,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"mdfa",0.444510069144293,41.4665419568927,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"oqxb9",0.717870370680982,92.676517408627,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbs",0.995252239651049,29.6942148210271,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fepd",0.182782258282773,23.5362432682432,"NYC","MIN","NYC_vs_MIN",0.666509042829103
"chus",0.834435653782828,92.162854844328,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"nfsa",0.922932743887369,84.5739425921462,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"mrkc",0.978335646000461,73.9718549216945,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002856",0.990115833859418,89.6010210581526,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3004826",0.991820590361027,76.9002251014239,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspf",0.997002264872709,22.4738696324866,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"tssc",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"gale",0.525774043603173,47.0732710770244,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbk",0.99514962729988,37.226880569124,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3001098",0.997002264857739,22.3578951171859,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"mphd",0.995252239649883,27.7252794053305,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3001169",0.924616196853658,77.0628423035529,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"yagzecpa",0.978335646000461,78.7122668035074,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002660",0.270885201909222,33.4139450599778,"NYC","MIN","NYC_vs_MIN",0.905458869344714
"allr",0.834435653782828,89.1205217254907,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspm",0.995252239652093,30.1388814594197,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"espl1",0.00102065453822059,31.7279421074589,"NYC","MIN","NYC_vs_MIN",0.016748013104438
"sila",0.103827561654807,15.8290690584612,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"ARO.3000375",0.674996004725273,61.8051178590273,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3000166",0.444510069144293,47.9887037747868,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fepb",0.717870370680982,94.0064139345358,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002848",0.991337810803549,105.561095320991,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3001396",0.991932071466687,68.4946152251314,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"asla",0.00259268099942648,43.2680847216044,"NYC","MIN","NYC_vs_MIN",0.032274408303206
"parc",0.444510069144293,42.0815019783357,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002684",0.525774043603172,52.5712725754966,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"papa",0.270885201909221,30.5297448864665,"NYC","MIN","NYC_vs_MIN",0.905458869344714
"mrkd",0.9903834066308,98.267739540131,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"tssf",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"ARO.3001071",0.997147449569961,14.9036663192847,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbp",0.99514962729961,36.6458886278695,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3003154",0.995149627300164,35.993686263158,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002605",0.444510069144296,48.3170583841279,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3001778",0.717870370680982,100.633339361576,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"irp1",0.00687455922978859,55.6692269878916,"NYC","MIN","NYC_vs_MIN",0.0577143228361327
"flia",8.07993530729376e-09,90.7108868433452,"NYC","MIN","NYC_vs_MIN",2.91685664593305e-06
"ybte",0.01655923231409,70.6359659000181,"NYC","MIN","NYC_vs_MIN",0.110701534544194
"arr",0.997147449567874,14.9360556911247,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"entb",0.807278099703806,64.3623420571412,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fimb",0.877498973216124,87.6355751324506,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"eae",0.99700226487341,23.7145565542443,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ybtt",0.0111253830890492,66.9677197040387,"NYC","MIN","NYC_vs_MIN",0.0803252659029384
"ARO.3000168",0.525774043603172,52.5712725754966,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gnd",0.270885201909221,30.5300284818898,"NYC","MIN","NYC_vs_MIN",0.905458869344714
"fimc",0.182782258282773,26.942155920425,"NYC","MIN","NYC_vs_MIN",0.666509042829103
"senb",0.000388503582232696,16.1640749030816,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"ARO.3002533",0.525774043603172,52.5712725754966,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"sfay",0.990482313900913,109.812344065048,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbo",0.995252239651049,29.6942148210271,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002735",0.997002264870567,23.0732781644602,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"papf",0.270885201909222,30.0042244212052,"NYC","MIN","NYC_vs_MIN",0.905458869344714
"chux",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"ARO.3002132",0.99714744956776,14.9856450083511,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fha",0.0037516519582637,48.6555823080746,"NYC","MIN","NYC_vs_MIN",0.0410407986949468
"vgrgtssi",0.0037516519582637,48.6555823080746,"NYC","MIN","NYC_vs_MIN",0.0410407986949468
"fabi",0.978335646000461,74.463835379673,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002601",0.994893628701686,57.9134397391124,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ampc1",0.0051757345421549,53.3869120027205,"NYC","MIN","NYC_vs_MIN",0.0533840048490834
"ompr",0.103827561654807,15.3827819558328,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"wcaj",0.13596490896891,111.5870140585,"NYC","MIN","NYC_vs_MIN",0.545370357086405
"gspi",0.997002264872709,22.4738696324866,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fimi",0.807278099703805,68.3080100589768,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspj",0.997002264872709,22.4738696324866,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"espx5",0.00168696016304864,37.9939023740098,"NYC","MIN","NYC_vs_MIN",0.0243597047544225
"ARO.3000412",0.359156497233147,38.9588369947566,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"folc",0.602598715907291,54.8119737018622,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fepg",0.998738393652906,5.26040863557775,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"chuv",0.877498973216124,90.1153277567213,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"cyaa",0.602598715907291,51.5181241786295,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"tesa",0.359156497233147,36.4102366617417,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"shuy",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"ARO.3002714",0.995252239650535,29.7109517651964,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"galf",0.922932743887368,80.4634917199278,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"phoq",0.525774043603172,49.4098535287128,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"lpfa1",0.00259268099942648,42.8297113172463,"NYC","MIN","NYC_vs_MIN",0.032274408303206
"ARO.3003839",0.387675718902166,116.066728130511,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ybtq",0.00885445640052032,59.368651988348,"NYC","MIN","NYC_vs_MIN",0.0665928908455804
"ARO.3002826",0.602598715907291,57.4562555420911,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fliq",0.0403724522599336,89.5528711226093,"NYC","MIN","NYC_vs_MIN",0.214330224497589
"fliy",0.444510069144293,42.0898534708124,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"papk",0.997147449568275,14.5243515827164,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"kpse",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"yagwecpd",0.649323400483008,100.484483019243,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"tssg",0.990482313898655,102.078641468399,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"rnfc",0.530326702721112,103.61537457106,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ybtu",0.0068745592297886,55.0444776178073,"NYC","MIN","NYC_vs_MIN",0.0577143228361327
"mrkh",0.990513928441579,108.607724383959,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002592",0.997147449568652,14.7565981511924,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"chuw",0.0010206545382206,30.6996352797416,"NYC","MIN","NYC_vs_MIN",0.016748013104438
"oqxb20",0.60259871590729,51.0402722362349,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3003109",0.359156497233147,39.3218210456197,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"irob",0.994893628720906,50.5716426454683,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fepc",0.103827561654807,15.9664621210336,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"flig",0.0509550831556477,91.9741824932844,"NYC","MIN","NYC_vs_MIN",0.262782643131269
"alld",0.990313227207089,98.932005825197,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fes",0.674996004725272,56.9178560124639,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3000149",0.990417131357034,107.06707603695,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ybts",0.00885445640052032,59.368651988348,"NYC","MIN","NYC_vs_MIN",0.0665928908455804
"asta",0.674996004725273,55.8317911449099,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"alls",0.329109012931382,116.727396621306,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3000860",0.525774043603172,52.5712725754966,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002695",0.0994342029994572,109.478638327041,"NYC","MIN","NYC_vs_MIN",0.421143255700962
"iroc",0.994893628711346,51.1470067903718,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"iucd",0.994807238182114,62.8720189289288,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbg",0.995252239651049,29.6942148210271,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbn",0.995068799986234,42.8380284077934,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"rpsl",0.182782258282773,23.2903152736619,"NYC","MIN","NYC_vs_MIN",0.666509042829103
"clbi",0.995149627300956,36.4251925135318,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"clbe",0.995252239651049,29.6942148210271,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"entc",0.867682229679929,67.673749794287,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"cuss",0.602598715907291,57.5099689163178,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ompk36",0.998738393652906,5.26040863557775,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002831",0.444510069144293,43.6505963740478,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3004089",0.444510069144293,47.9887037747868,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"feob",0.00687455922978855,58.0920828122728,"NYC","MIN","NYC_vs_MIN",0.0577143228361327
"hcp1tssd1",0.997147449568275,14.5243515827164,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002312",0.995068799984492,41.8234976721535,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"entf",0.431121199380006,107.819068163025,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3006251",0.99714744956824,14.952449225533,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"iroe",0.990276550725616,92.5079581140194,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3002796",0.00168696016304862,36.7739368160604,"NYC","MIN","NYC_vs_MIN",0.0243597047544225
"ARO.3002535",0.834435653782827,93.1674678836258,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"espr1",0.0037516519582637,49.0188969593088,"NYC","MIN","NYC_vs_MIN",0.0410407986949468
"shut",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828
"estxsat1",0.997147449567476,15.5526584104337,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3003020",0.990575541791556,114.993372518567,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ARO.3000316",0.98980370057448,69.1514850711563,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"amph",0.525774043603173,46.447667814031,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fimg",0.867682229679928,72.036674691477,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspa",0.997002264872709,22.4738696324866,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspd",0.990158480915115,91.0747087635638,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"ramr",0.990450072967,106.351381233872,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"gspl",0.995252239652093,30.1388814594197,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fimf",0.867682229679928,72.036674691477,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"setb",0.807278099703805,63.5579591123076,"NYC","MIN","NYC_vs_MIN",0.998738393652906
"fimh",0.924616196853657,75.5452609621645,"NYC","MIN","NYC_vs_MIN",0.998738393652906
