"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues"
"ARO:3000167",0.975783859567713,31.5414782174316,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002847",0.991485038922195,102.088951892902,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"mrkb",0.990508547169987,86.9375514390472,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"enta",0.793691231756997,47.5756636397087,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fepa",0.933306494507758,26.3459545500444,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3004122",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"cyca",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"csge",0.0835126984563619,75.8748227542578,"NYC","MIN","NYC_vs_MIN",0.581711002478167
"iucc",0.995115303186601,46.1838653132592,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"espx6",0.00830403428953683,14.673013763571,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"ARO:3000830",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"hlya",0.997207252101164,18.0332333010575,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fliz",0.0835126984563619,75.8748227542578,"NYC","MIN","NYC_vs_MIN",0.581711002478167
"papc",0.811139903802238,19.7057025300011,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000174",0.903713937303091,37.758319106644,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"mdfa",0.793691231756997,46.8506475310229,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"oqxb9",0.469814589336039,87.2826332691385,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"clbs",0.995354640421339,28.8407832961635,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fepd",0.933306494507758,26.2564980510698,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3003578",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"chus",0.567529112973778,73.822026216794,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"nfsa",0.545321216726433,77.6638327091128,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000829",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"mrkc",0.645703307272489,64.5659828476627,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000533",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002856",0.990287560404088,71.6876726168743,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3004826",0.992011804059616,73.5368964662415,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"gspf",0.997067722163835,21.8976376933818,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"tssc",0.013640071582708,22.1060671373763,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"gale",0.793691231756996,47.9311496043781,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"clbk",0.997207252102257,14.3769790742597,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001098",0.997067722153933,21.7816631780811,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"mphd",0.997207252101371,15.3169863327511,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001169",0.711264751106766,55.822383447991,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"yagzecpa",0.59146514383705,71.2991768277453,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002660",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"allr",0.545321216726436,76.6005177239316,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3005010",0.101230532886455,83.6355038050399,"NYC","MIN","NYC_vs_MIN",0.611721648728147
"gspm",0.997067722163835,21.8976376933818,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"espl1",0.0136400715827081,25.9069626873334,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"ARO:3000027",0.409424739810689,96.377134397254,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"sila",0.627334776932595,14.9579383447771,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002815",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000375",0.903713937303091,37.173641573855,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000166",0.933306494507758,25.4145059507917,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fepb",0.4381145196239,92.2967204861802,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000796",0.811139903802238,19.0656806108668,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002848",0.991547713761391,99.4600914358181,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001396",0.992118228995207,65.6057690002477,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"asla",0.0193829177130636,28.6978190418696,"NYC","MIN","NYC_vs_MIN",0.32795896770504
"parc",0.844216994681895,43.2661424797031,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002684",0.933306494507758,25.4145059507917,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3005098",0.995627408859633,19.5936786647463,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3004597",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"papa",0.975783859567713,32.5926215842099,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"mrkd",0.990620596906598,92.935273244514,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"tssf",0.013640071582708,22.1060671373763,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"ARO:3000254",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001071",0.99720725210195,14.6116524876688,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"clbp",0.995354640421339,28.8407832961635,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3003154",0.99525648579157,34.8693794041933,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3005044",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3004588",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002605",0.975783859567716,31.9202556654657,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3003048",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001329",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3001778",0.505228489658558,83.6703509089035,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3003583",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"irp1",0.031065041865928,40.1236721101354,"NYC","MIN","NYC_vs_MIN",0.368985450189906
"flia",0.990028974141294,79.0090969208726,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ybte",0.0601917271131574,61.8909491946714,"NYC","MIN","NYC_vs_MIN",0.48039812394086
"arr",0.997207252100929,14.6440418595087,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"entb",0.645703307272491,64.252001795514,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fimb",0.524616079905943,80.2513774557643,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000516",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"eae",0.997207252101164,18.0332333010575,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ybtt",0.0427429954120693,49.8881306557773,"NYC","MIN","NYC_vs_MIN",0.368985450189906
"ARO:3000168",0.933306494507758,25.4145059507917,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000237",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"gnd",0.975783859567713,35.3091521479395,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fimc",0.811139903802238,19.1659801782378,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"senb",0.0083040342895371,14.936056446964,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"ARO:3002533",0.933306494507758,25.4145059507917,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"sfay",0.990689718372243,96.0761306377535,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"clbo",0.995354640421339,28.8407832961635,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002735",0.99706772216453,22.4970462253554,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"papf",0.933306494507758,26.4733861788166,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"chux",0.013640071582708,22.1060671373763,"NYC","MIN","NYC_vs_MIN",0.288487513974277
"ARO:3000165",0.811139903802238,19.0656806108668,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002132",0.997207252101463,14.6936311767352,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000263",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fha",0.0252150929490623,34.7893095530591,"NYC","MIN","NYC_vs_MIN",0.367792562670812
"vgrgtssi",0.0252150929490623,34.7893095530591,"NYC","MIN","NYC_vs_MIN",0.367792562670812
"ARO:3005047",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fabi",0.617407221963669,67.9070182959985,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3002601",0.995060431317168,50.9403698102158,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ampc1",0.0369096674302401,45.1926911580531,"NYC","MIN","NYC_vs_MIN",0.368985450189906
"ARO:3000535",0.999263099452094,4.32440400559445,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ompr",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"wcaj",0.170288917574192,103.376356597273,"NYC","MIN","NYC_vs_MIN",0.935483274466018
"gspi",0.997067722163835,21.8976376933818,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fimi",0.676796832035949,60.8395398231204,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"gspj",0.997067722163835,21.8976376933818,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"espx5",0.0193829177130638,29.2527924233358,"NYC","MIN","NYC_vs_MIN",0.32795896770504
"ARO:3000412",0.627334776932594,14.4553094882153,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"folc",0.793691231756996,47.3762466584611,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"fepg",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3000499",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"chuv",0.567529112973779,73.8300712794979,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"ARO:3003922",0.627334776932594,11.7390625199089,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"cyaa",0.749876556967628,52.0932235356024,"NYC","MIN","NYC_vs_MIN",0.999263099452094
"tesa",0.90371393730309,37.9850206362263,"NYC","MIN","NYC_vs_MIN",0.999263099452094
