	aro	BAL_En	BAL_Es	BAL_Kl	DEN_En	DEN_Es	DEN_Kl	MIN_En	MIN_Es	MIN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAC_Es	SAC_Kl	SAN_En	SAN_Es	SAN_Kl
oqxB	3003923	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
oqxA	3003922	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
cpxA	3000830	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
acrB	3000216	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
bacA	3002986	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtC	3000794	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
emrR	3000516	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
APH(3')-Ia	3002641	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ArnT	3005053	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
CRP	3000518	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0
APH(3'')-Ib	3002639	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sul1	3000410	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
qacEdelta1	3005010	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtB	3000793	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
