	aro	BAL_En	BAL_Es	BAL_Kl	DEN_En	DEN_Es	DEN_Kl	MIN_En	MIN_Es	MIN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAC_Es	SAC_Kl	SAN_En	SAN_Es	SAN_Kl
adeL	3000620	3.0	1.0	8.0	2.0	0.0	47.0	0.0	1.0	1.0	178.0	17.0	114.0	1.0	0.0	0.0	0.0	3.0	1.0
Acinetobacter baumannii AbaF	3004573	3.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	62.0	5.0	23.0	0.0	0.0	0.0	0.0	1.0	0.0
basS	3003583	2.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	29.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
smeA	3003051	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
patA	3000024	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	10.0	2.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0
Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	2.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	60.0	7.0	25.0	0.0	0.0	0.0	0.0	1.0	0.0
tetA(58)	3003980	2.0	0.0	2.0	2.0	2.0	28.0	1.0	0.0	0.0	81.0	4.0	54.0	0.0	0.0	0.0	0.0	2.0	1.0
cpxA	3000830	2.0	0.0	2.0	1.0	0.0	5.0	0.0	0.0	0.0	38.0	5.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
optrA	3003746	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	18.0	4.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0
mdtN	3003548	2.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	21.0	7.0	15.0	0.0	0.0	1.0	0.0	1.0	0.0
macB	3000535	2.0	0.0	9.0	2.0	0.0	72.0	1.0	0.0	1.0	222.0	21.0	110.0	0.0	0.0	3.0	0.0	1.0	1.0
Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin	3003777	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
cmrA	3002702	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
novA	3002522	1.0	0.0	1.0	1.0	0.0	6.0	0.0	0.0	0.0	24.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
lmrD	3002882	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
cfrC	3004146	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtH	3001216	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	13.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
bcrA	3002987	1.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	56.0	10.0	28.0	2.0	0.0	0.0	0.0	4.0	0.0
gadX	3000508	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	11.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
acrB	3000216	1.0	1.0	0.0	0.0	0.0	11.0	1.0	0.0	1.0	40.0	3.0	13.0	1.0	0.0	0.0	0.0	1.0	0.0
Acinetobacter baumannii AmvA	3004577	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
TaeA	3003986	1.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	29.0	1.0	14.0	0.0	2.0	1.0	0.0	0.0	0.0
OprA	3003039	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lmrC	3002881	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	10.0	0.0	19.0	0.0	0.0	1.0	0.0	2.0	0.0
cmlv	3002700	1.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	26.0	5.0	17.0	0.0	0.0	0.0	0.0	1.0	0.0
otr(B)	3002892	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	6.0	2.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0
arlR	3000838	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	11.0	4.0	9.0	1.0	0.0	0.0	0.0	1.0	0.0
farA	3003961	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	19.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
AcrF	3000502	1.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	4.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0
Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	3003392	1.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	11.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0
mdtP	3003550	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	4.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0
RanA	3005091	1.0	0.0	2.0	0.0	0.0	35.0	0.0	0.0	0.0	134.0	6.0	71.0	1.0	0.0	1.0	0.0	4.0	1.0
mreA	3007050	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
vanS gene in vanN cluster	3002940	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
smeC	3003053	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium striatum tetA	3004639	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
rosB	3003049	1.0	1.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	29.0	3.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0
Staphylococcus aureus mupB conferring resistance to mupirocin	3000510	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	22.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
tetB(60)	3004036	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	19.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0
lsaC	3003112	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
norB	3000421	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus aureus mupA conferring resistance to mupirocin	3000521	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	27.0	2.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0
emrB	3000074	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	18.0	2.0	14.0	0.0	0.0	0.0	0.0	3.0	0.0
salC	3007027	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ParR	3005068	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	18.0	2.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0
poxtA	3004470	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mexQ	3003699	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanM cluster	3002928	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid	3003735	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	13.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
emrA	3000027	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
Pseudomonas aeruginosa CpxR	3004054	1.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	25.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
