	aro	GCF_002214205.1	GCF_002833425.1	GCF_002833445.1	GCF_002833465.1	GCF_002855815.1	GCF_002855825.1	GCF_002855915.1	GCF_002855955.1	GCF_002855985.1	GCF_002856015.1	GCF_002856025.1	GCF_002856075.1	GCF_002856155.1	GCF_002856185.1	GCF_002856235.1	GCF_002856315.1	GCF_002856325.1	GCF_002856385.1	GCF_002856395.1	GCF_002856415.1	GCF_002856455.1	GCF_002856535.1	GCF_002856565.1	GCF_002856575.1	GCF_002856615.1	GCF_002856635.1	GCF_002856675.1	GCF_002856705.1	GCF_002856765.1	GCF_002856885.1	GCF_002856905.1	GCF_002856915.1	GCF_002856945.1	GCF_002856995.1	GCF_002857005.1	GCF_002857035.1	GCF_002857065.1	GCF_002857085.1	GCF_002857115.1	GCF_002857125.1	GCF_002857135.1	GCF_002857205.1	GCF_002857235.1	GCF_002857315.1	GCF_002857345.1	GCF_003334885.1	GCF_003334895.1	GCF_003334925.1	GCF_003334945.1	GCF_003334955.1	GCF_003334965.1	GCF_003335005.1	GCF_003335025.1	GCF_003335065.1	GCF_003345685.1	GCF_003345715.1	GCF_003345765.1	GCF_003860845.1	GCF_003860885.1	GCF_003860895.1	GCF_003860985.1	GCF_003860995.1	GCF_003861035.1	GCF_003861085.1	GCF_003861135.1	GCF_003861255.1	GCF_003861365.1	GCF_003861425.1	GCF_003861435.1	GCF_003861475.1	GCF_003861575.1	GCF_013423565.1	GCF_013423645.1	GCF_019927725.1	GCF_019927885.1	GCF_019927925.1	GCF_019928325.1	GCF_020783935.1	GCF_022569415.1	GCF_022812305.1	GCF_022812315.1	GCF_027584255.1	GCF_027584275.1	GCF_027584315.1	GCF_027584335.1	GCF_027584375.1	GCF_027584385.1	GCF_027584415.1	GCF_027584435.1	GCF_027584455.1	GCF_027584485.1	GCF_027584495.1	GCF_027584535.1	GCF_027584585.1	GCF_027584695.1	GCF_027585065.1	GCF_027585115.1	GCF_027585155.1	GCF_027585165.1	GCF_029069505.1	GCF_029069575.1	GCF_029069675.1	GCF_029069745.1	GCF_029069825.1	GCF_029070195.1	GCF_029075245.1
macB	3000535	36.0	42.0	43.0	43.0	45.0	47.0	47.0	49.0	44.0	50.0	43.0	46.0	45.0	47.0	44.0	45.0	41.0	54.0	54.0	49.0	46.0	46.0	50.0	42.0	45.0	46.0	45.0	52.0	51.0	43.0	43.0	47.0	46.0	45.0	47.0	49.0	43.0	48.0	49.0	43.0	43.0	41.0	49.0	52.0	42.0	49.0	46.0	48.0	44.0	44.0	46.0	47.0	47.0	50.0	47.0	45.0	45.0	43.0	44.0	43.0	44.0	42.0	43.0	49.0	44.0	43.0	40.0	44.0	44.0	46.0	45.0	35.0	35.0	45.0	43.0	41.0	43.0	37.0	30.0	33.0	33.0	43.0	44.0	34.0	38.0	44.0	44.0	42.0	46.0	44.0	44.0	43.0	42.0	48.0	43.0	46.0	45.0	45.0	45.0	44.0	41.0	41.0	39.0	41.0	40.0	44.0
NmcR	3003665	26.0	34.0	34.0	34.0	38.0	34.0	36.0	37.0	32.0	38.0	37.0	35.0	34.0	39.0	33.0	36.0	36.0	39.0	37.0	38.0	36.0	37.0	36.0	33.0	37.0	37.0	36.0	39.0	37.0	39.0	40.0	38.0	34.0	32.0	33.0	38.0	36.0	34.0	33.0	38.0	39.0	32.0	37.0	37.0	32.0	36.0	32.0	36.0	32.0	32.0	32.0	34.0	34.0	32.0	34.0	32.0	32.0	38.0	33.0	32.0	33.0	33.0	34.0	36.0	34.0	35.0	37.0	33.0	36.0	34.0	34.0	23.0	23.0	35.0	32.0	32.0	30.0	20.0	24.0	23.0	22.0	34.0	34.0	20.0	20.0	32.0	32.0	33.0	35.0	33.0	33.0	34.0	33.0	35.0	33.0	33.0	33.0	33.0	33.0	16.0	19.0	19.0	19.0	19.0	18.0	19.0
adeL	3000620	22.0	52.0	52.0	52.0	54.0	53.0	56.0	65.0	55.0	51.0	51.0	55.0	54.0	62.0	56.0	52.0	57.0	56.0	57.0	58.0	52.0	61.0	56.0	57.0	51.0	53.0	53.0	54.0	57.0	57.0	54.0	51.0	54.0	55.0	56.0	59.0	55.0	56.0	60.0	56.0	52.0	51.0	53.0	56.0	54.0	52.0	54.0	51.0	51.0	51.0	51.0	51.0	51.0	54.0	51.0	51.0	51.0	54.0	55.0	52.0	48.0	55.0	52.0	53.0	54.0	52.0	54.0	52.0	52.0	56.0	57.0	27.0	27.0	52.0	53.0	53.0	47.0	30.0	22.0	20.0	20.0	54.0	52.0	17.0	24.0	55.0	52.0	54.0	52.0	51.0	56.0	54.0	54.0	50.0	54.0	54.0	55.0	55.0	55.0	29.0	37.0	37.0	33.0	37.0	33.0	29.0
RanA	3005091	22.0	34.0	34.0	34.0	38.0	37.0	34.0	38.0	36.0	35.0	34.0	35.0	35.0	40.0	35.0	36.0	41.0	36.0	41.0	37.0	37.0	35.0	40.0	37.0	36.0	37.0	37.0	42.0	43.0	38.0	37.0	34.0	37.0	37.0	37.0	39.0	35.0	36.0	34.0	39.0	40.0	34.0	37.0	35.0	35.0	36.0	35.0	36.0	36.0	35.0	36.0	36.0	36.0	37.0	36.0	35.0	36.0	36.0	34.0	35.0	35.0	35.0	34.0	37.0	35.0	34.0	36.0	34.0	36.0	33.0	38.0	25.0	25.0	35.0	36.0	35.0	33.0	23.0	24.0	21.0	21.0	34.0	36.0	25.0	22.0	36.0	36.0	34.0	33.0	35.0	34.0	35.0	34.0	36.0	34.0	34.0	34.0	34.0	33.0	19.0	21.0	21.0	25.0	21.0	21.0	23.0
almE	3007433	21.0	9.0	9.0	9.0	14.0	12.0	12.0	15.0	10.0	13.0	10.0	15.0	12.0	13.0	12.0	14.0	14.0	13.0	15.0	11.0	11.0	12.0	15.0	14.0	10.0	13.0	10.0	13.0	15.0	14.0	12.0	12.0	12.0	16.0	10.0	14.0	12.0	10.0	12.0	11.0	13.0	11.0	15.0	15.0	11.0	16.0	13.0	16.0	13.0	13.0	13.0	16.0	16.0	13.0	16.0	13.0	13.0	18.0	11.0	10.0	9.0	12.0	20.0	11.0	10.0	10.0	9.0	10.0	21.0	11.0	15.0	17.0	16.0	11.0	12.0	10.0	19.0	12.0	20.0	25.0	25.0	11.0	20.0	19.0	17.0	13.0	11.0	10.0	10.0	13.0	10.0	10.0	10.0	12.0	10.0	12.0	12.0	12.0	12.0	12.0	10.0	10.0	14.0	10.0	10.0	13.0
evgS	3000833	19.0	27.0	27.0	27.0	30.0	32.0	28.0	38.0	27.0	35.0	28.0	26.0	26.0	34.0	26.0	29.0	33.0	34.0	28.0	37.0	26.0	31.0	29.0	27.0	28.0	29.0	32.0	37.0	34.0	31.0	29.0	29.0	32.0	36.0	27.0	28.0	27.0	32.0	30.0	27.0	31.0	28.0	32.0	34.0	27.0	27.0	26.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	35.0	28.0	30.0	31.0	30.0	30.0	29.0	28.0	26.0	31.0	28.0	30.0	28.0	29.0	21.0	22.0	28.0	30.0	26.0	27.0	25.0	20.0	20.0	20.0	26.0	30.0	22.0	20.0	27.0	28.0	30.0	26.0	28.0	25.0	30.0	30.0	33.0	28.0	27.0	28.0	27.0	27.0	27.0	24.0	24.0	26.0	24.0	25.0	26.0
TxR	3005008	18.0	18.0	18.0	18.0	22.0	17.0	21.0	21.0	18.0	14.0	15.0	18.0	16.0	22.0	18.0	18.0	18.0	17.0	16.0	20.0	18.0	16.0	15.0	15.0	14.0	17.0	15.0	18.0	17.0	19.0	20.0	17.0	17.0	21.0	18.0	21.0	16.0	19.0	20.0	17.0	19.0	15.0	20.0	14.0	17.0	15.0	21.0	15.0	18.0	19.0	18.0	15.0	15.0	18.0	15.0	18.0	18.0	16.0	15.0	16.0	20.0	16.0	17.0	23.0	15.0	16.0	16.0	18.0	16.0	21.0	14.0	17.0	17.0	14.0	18.0	15.0	20.0	10.0	17.0	15.0	15.0	15.0	15.0	18.0	21.0	16.0	17.0	15.0	17.0	17.0	16.0	15.0	15.0	20.0	16.0	16.0	16.0	16.0	16.0	11.0	9.0	10.0	12.0	9.0	11.0	12.0
MexS	3000813	18.0	23.0	23.0	23.0	21.0	20.0	23.0	24.0	24.0	21.0	22.0	22.0	24.0	22.0	19.0	21.0	22.0	23.0	20.0	22.0	21.0	22.0	22.0	22.0	23.0	21.0	19.0	21.0	21.0	21.0	23.0	22.0	21.0	23.0	23.0	22.0	21.0	21.0	25.0	24.0	24.0	20.0	18.0	24.0	22.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	25.0	21.0	19.0	25.0	23.0	21.0	24.0	18.0	23.0	20.0	26.0	22.0	25.0	18.0	18.0	23.0	21.0	18.0	17.0	12.0	18.0	19.0	19.0	24.0	25.0	14.0	18.0	20.0	21.0	24.0	17.0	23.0	25.0	25.0	24.0	25.0	24.0	19.0	19.0	19.0	19.0	14.0	15.0	15.0	14.0	15.0	14.0	15.0
kdpD	3004047	18.0	5.0	5.0	5.0	8.0	4.0	7.0	10.0	5.0	3.0	5.0	6.0	4.0	7.0	7.0	6.0	5.0	5.0	7.0	4.0	6.0	8.0	8.0	5.0	6.0	7.0	3.0	5.0	6.0	8.0	6.0	6.0	4.0	10.0	8.0	7.0	6.0	4.0	8.0	6.0	4.0	6.0	5.0	6.0	4.0	5.0	7.0	5.0	7.0	6.0	6.0	5.0	5.0	7.0	5.0	6.0	6.0	9.0	8.0	5.0	6.0	6.0	8.0	10.0	7.0	5.0	4.0	7.0	9.0	5.0	5.0	14.0	14.0	6.0	8.0	6.0	4.0	9.0	18.0	10.0	10.0	7.0	8.0	8.0	13.0	4.0	4.0	8.0	11.0	11.0	6.0	8.0	8.0	8.0	6.0	7.0	8.0	8.0	7.0	9.0	10.0	10.0	6.0	10.0	11.0	10.0
arnA	3002985	17.0	10.0	10.0	10.0	10.0	13.0	14.0	15.0	13.0	14.0	9.0	11.0	8.0	16.0	9.0	9.0	14.0	15.0	13.0	16.0	10.0	12.0	12.0	12.0	8.0	8.0	10.0	10.0	13.0	12.0	12.0	11.0	14.0	14.0	11.0	10.0	11.0	12.0	13.0	12.0	11.0	8.0	15.0	11.0	13.0	10.0	15.0	10.0	11.0	13.0	13.0	10.0	10.0	13.0	10.0	12.0	12.0	11.0	12.0	9.0	9.0	13.0	13.0	8.0	12.0	11.0	10.0	9.0	13.0	9.0	9.0	16.0	16.0	10.0	8.0	10.0	10.0	11.0	12.0	11.0	11.0	11.0	12.0	13.0	14.0	13.0	9.0	13.0	8.0	10.0	11.0	13.0	13.0	9.0	12.0	10.0	9.0	9.0	9.0	10.0	10.0	10.0	12.0	10.0	14.0	14.0
