	aro	BAL_En	DEN_En	DEN_Es	DEN_Kl	MIN_En	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_En
adeL	3000620	1	0	0	0	1	1	1	1	1	0
macB	3000535	1	1	0	0	0	1	1	1	0	0
mdtN	3003548	1	1	0	0	0	1	0	1	0	0
Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	1	0	0	0	0	1	0	1	0	0
tetA(58)	3003980	1	1	0	0	0	1	0	1	1	0
Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	1	0	0	0	0	1	0	1	0	0
patA	3000024	1	1	0	0	0	1	0	1	0	0
mdtH	3001216	1	0	0	0	0	1	0	1	0	0
facT	3001313	1	0	0	0	0	1	0	1	0	0
lmrC	3002881	1	0	0	0	0	1	1	1	1	0
baeS	3000829	1	0	0	0	0	1	0	1	0	0
rosB	3003049	1	1	0	0	0	1	0	1	0	0
lmrB	3002813	1	0	0	0	0	1	0	0	0	0
gadX	3000508	1	0	0	0	0	1	0	1	0	0
AcrF	3000502	1	0	0	0	0	1	1	1	0	0
oqxB	3003923	1	0	0	0	0	1	0	1	0	0
patB	3000025	1	0	0	0	0	1	0	1	0	0
farB	3003962	1	0	0	0	0	1	0	1	0	0
Rhodococcus fascians cmr	3002701	1	0	0	0	0	1	0	1	0	0
optrA	3003746	1	0	0	0	0	1	1	1	1	0
tet(36)	3000197	1	0	0	0	0	1	1	0	0	0
Staphylococcus aureus mupA conferring resistance to mupirocin	3000521	1	0	0	0	0	1	0	1	0	0
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	1	0	0	0	0	1	0	1	0	0
Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin	3003777	1	0	0	0	0	1	0	1	0	0
arlR	3000838	1	0	0	0	0	1	1	1	0	0
mreA	3007050	1	0	0	0	0	1	0	1	0	0
oqxA	3003922	1	0	0	0	0	1	0	1	0	0
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	1	0	0	0	0	1	1	1	0	0
msrF	3005087	1	0	0	0	0	1	0	0	0	0
cpxA	3000830	1	0	0	0	0	1	0	1	0	0
Acinetobacter baumannii AmvA	3004577	1	0	0	0	0	1	0	1	0	0
RanA	3005091	1	0	0	0	0	1	1	1	0	0
norB	3000421	1	0	0	0	0	1	0	1	0	0
Pseudomonas aeruginosa CpxR	3004054	1	0	0	0	0	1	0	1	0	0
mdtP	3003550	1	0	0	0	0	1	0	1	0	0
lmrD	3002882	1	0	0	0	0	1	0	1	0	0
acrB	3000216	1	0	0	0	0	1	1	1	0	0
cfrC	3004146	1	0	0	0	0	1	0	0	0	0
bacA	3002986	1	0	0	0	0	1	1	1	0	0
vanR gene in vanI cluster	3003728	1	0	0	0	0	1	0	0	0	0
Staphylococcus aureus mupB conferring resistance to mupirocin	3000510	1	0	0	0	0	1	0	1	0	0
emrB	3000074	1	0	0	0	0	1	1	1	0	0
basS	3003583	1	1	0	0	0	1	0	1	0	0
