gene	species
aac(3)-ii	enterobacter hormaechei
aac(3)-ii	klebsiella pneumoniae
aac(3)-iv	klebsiella pneumoniae
aac(6')-30_aac(6')-ib'fusionprotein	klebsiella pneumoniae
aac(6')-ib-cr	enterobacter hormaechei
aac(6')-ib-cr	escherichia coli
aac(6')-ib-cr	klebsiella pneumoniae
aaca16	klebsiella pneumoniae
acra	enterobacter hormaechei
acra	escherichia coli
acra	klebsiella pneumoniae
acrr	klebsiella pneumoniae
alla	klebsiella pneumoniae
allb	escherichia coli
allb	klebsiella pneumoniae
allc	klebsiella pneumoniae
alld	klebsiella pneumoniae
allr	klebsiella pneumoniae
alls	klebsiella pneumoniae
ampc1	escherichia coli
amph	escherichia coli
ampr	escherichia coli
aph(3')-vi	klebsiella pneumoniae
argr	enterobacter hormaechei
argr	escherichia coli
argr	klebsiella pneumoniae
arr	enterobacter hormaechei
arr	klebsiella pneumoniae
asla	escherichia coli
asta	escherichia coli
bamb	klebsiella pneumoniae
cata10	enterobacter hormaechei
cata10	klebsiella pneumoniae
catb	klebsiella pneumoniae
chey	escherichia coli
chus	escherichia coli
chut	escherichia coli
chuu	escherichia coli
chuv	escherichia coli
chuw	escherichia coli
chux	escherichia coli
chuy	escherichia coli
clbd	escherichia coli
clbd	klebsiella pneumoniae
clbe	escherichia coli
clbe	klebsiella pneumoniae
clbf	escherichia coli
clbf	klebsiella pneumoniae
clbg	escherichia coli
clbg	klebsiella pneumoniae
clbh	escherichia coli
clbh	klebsiella pneumoniae
clbi	escherichia coli
clbi	klebsiella pneumoniae
clbj	escherichia coli
clbj	klebsiella pneumoniae
clbk	escherichia coli
clbk	klebsiella pneumoniae
clbl	escherichia coli
clbl	klebsiella pneumoniae
clbm	escherichia coli
clbm	klebsiella pneumoniae
clbn	escherichia coli
clbn	klebsiella pneumoniae
clbo	escherichia coli
clbo	klebsiella pneumoniae
clbp	escherichia coli
clbp	klebsiella pneumoniae
clbq	escherichia coli
clbq	klebsiella pneumoniae
clbs	escherichia coli
clbs	klebsiella pneumoniae
clpv-tssh	enterobacter hormaechei
clpv-tssh	escherichia coli
clpv-tssh	klebsiella pneumoniae
cnf1	escherichia coli
cpsacp	escherichia coli
cpsacp	klebsiella pneumoniae
csge	escherichia coli
csgg	enterobacter hormaechei
csgg	escherichia coli
cusa	enterobacter hormaechei
cusf	escherichia coli
cusr	escherichia coli
cusr	klebsiella pneumoniae
cuss	enterobacter hormaechei
cyaa	escherichia coli
cyca	enterobacter hormaechei
cyca	escherichia coli
cyca	klebsiella pneumoniae
dfr	escherichia coli
dfr	klebsiella pneumoniae
dotu-tssl	klebsiella pneumoniae
draa	escherichia coli
drad	escherichia coli
drae2	escherichia coli
drap	escherichia coli
eae	escherichia coli
ec-145	escherichia coli
ec-148	escherichia coli
emre	escherichia coli
enta	enterobacter hormaechei
enta	klebsiella pneumoniae
entb	escherichia coli
entb	klebsiella pneumoniae
entc	escherichia coli
entc	klebsiella pneumoniae
entd	escherichia coli
entd	klebsiella pneumoniae
ente	escherichia coli
ente	klebsiella pneumoniae
entf	escherichia coli
entf	klebsiella pneumoniae
espl1	escherichia coli
espl4	escherichia coli
espr1	escherichia coli
espx1	escherichia coli
espx2	escherichia coli
espx4	escherichia coli
espx5	escherichia coli
espx6	escherichia coli
espy1	escherichia coli
espy2	escherichia coli
espy3	escherichia coli
espy4	escherichia coli
estx-sat1	klebsiella pneumoniae
fabi	klebsiella pneumoniae
fdec	escherichia coli
feob	klebsiella pneumoniae
fepa	escherichia coli
fepa	klebsiella pneumoniae
fepb	escherichia coli
fepb	klebsiella pneumoniae
fepc	escherichia coli
fepc	klebsiella pneumoniae
fepd	escherichia coli
fepd	klebsiella pneumoniae
fepg	escherichia coli
fepg	klebsiella pneumoniae
fes	escherichia coli
fes	klebsiella pneumoniae
fha	escherichia coli
fima	escherichia coli
fima	klebsiella pneumoniae
fimb	escherichia coli
fimb	klebsiella pneumoniae
fimc	escherichia coli
fimc	klebsiella pneumoniae
fimd	escherichia coli
fimd	klebsiella pneumoniae
fime	escherichia coli
fime	klebsiella pneumoniae
fimf	escherichia coli
fimf	klebsiella pneumoniae
fimg	escherichia coli
fimg	klebsiella pneumoniae
fimh	escherichia coli
fimh	klebsiella pneumoniae
fimi	escherichia coli
fimi	klebsiella pneumoniae
fimk	klebsiella pneumoniae
flha	enterobacter hormaechei
flha	escherichia coli
flia	enterobacter hormaechei
flia	escherichia coli
flig	enterobacter hormaechei
flig	escherichia coli
flii	enterobacter hormaechei
flii	escherichia coli
flij	enterobacter hormaechei
flip	enterobacter hormaechei
fliq	enterobacter hormaechei
fliq	escherichia coli
fliy	enterobacter hormaechei
fliy	escherichia coli
fliy	klebsiella pneumoniae
fliz	escherichia coli
focc	escherichia coli
folc	enterobacter hormaechei
fosa7.3	klebsiella pneumoniae
fosa9	klebsiella pneumoniae
fyua	escherichia coli
fyua	klebsiella pneumoniae
gale	escherichia coli
galf	enterobacter hormaechei
galf	escherichia coli
galf	klebsiella pneumoniae
glf	klebsiella pneumoniae
glpt	enterobacter hormaechei
glpt	escherichia coli
glpt	klebsiella pneumoniae
gmd	escherichia coli
gmd	klebsiella pneumoniae
gnd	enterobacter hormaechei
gnd	escherichia coli
gnd	klebsiella pneumoniae
gspa	escherichia coli
gspc	escherichia coli
gspd	escherichia coli
gspe	escherichia coli
gspf	escherichia coli
gspg	escherichia coli
gsph	escherichia coli
gspi	escherichia coli
gspj	escherichia coli
gspk	escherichia coli
gspl	escherichia coli
gspm	escherichia coli
gtrb	enterobacter hormaechei
gyra	enterobacter hormaechei
gyra	escherichia coli
gyra	klebsiella pneumoniae
gyrb	klebsiella pneumoniae
hcp1-tssd1	escherichia coli
hcp2-tssd2	escherichia coli
hcp-tssd	enterobacter hormaechei
hcp-tssd	klebsiella pneumoniae
hlya	escherichia coli
hlyb	escherichia coli
hlyb	klebsiella pneumoniae
hlyc	escherichia coli
hlyd	escherichia coli
ibea	escherichia coli
icmf-tssm	klebsiella pneumoniae
impa-tssa	klebsiella pneumoniae
inlj	escherichia coli
irob	enterobacter hormaechei
irob	escherichia coli
irob	klebsiella pneumoniae
iroc	enterobacter hormaechei
iroc	escherichia coli
iroc	klebsiella pneumoniae
irod	escherichia coli
irod	klebsiella pneumoniae
iroe	escherichia coli
iroe	klebsiella pneumoniae
iron	enterobacter hormaechei
iron	escherichia coli
iron	klebsiella pneumoniae
irp1	escherichia coli
irp1	klebsiella pneumoniae
irp2	escherichia coli
irp2	klebsiella pneumoniae
iuca	escherichia coli
iuca	klebsiella pneumoniae
iucb	escherichia coli
iucb	klebsiella pneumoniae
iucc	escherichia coli
iucc	klebsiella pneumoniae
iucd	enterobacter hormaechei
iucd	escherichia coli
iucd	klebsiella pneumoniae
iuta	enterobacter hormaechei
iuta	escherichia coli
iuta	klebsiella pneumoniae
kdea	klebsiella pneumoniae
kfoc	klebsiella pneumoniae
kphs_23120	klebsiella pneumoniae
kpne	klebsiella pneumoniae
kpnf	klebsiella pneumoniae
kpng	klebsiella pneumoniae
kpnh	klebsiella pneumoniae
kpsc	escherichia coli
kpsd	escherichia coli
kpse	escherichia coli
kpsf	escherichia coli
kpsm	escherichia coli
kpss	escherichia coli
kpsu	escherichia coli
lpfa	escherichia coli
lpfa1	escherichia coli
maga-wzy_k1	klebsiella pneumoniae
manb	escherichia coli
manb	klebsiella pneumoniae
manc	escherichia coli
manc	klebsiella pneumoniae
marr	escherichia coli
mcr-9	enterobacter hormaechei
mcr-9	klebsiella pneumoniae
mdfa	escherichia coli
mdlb	escherichia coli
merr	enterobacter hormaechei
merr	escherichia coli
merr	klebsiella pneumoniae
mph(a)	enterobacter hormaechei
mph(a)	escherichia coli
mph(a)	klebsiella pneumoniae
mph(b)	escherichia coli
mph(d)	klebsiella pneumoniae
mrka	klebsiella pneumoniae
mrkb	klebsiella pneumoniae
mrkc	klebsiella pneumoniae
mrkd	klebsiella pneumoniae
mrkf	klebsiella pneumoniae
mrkh	klebsiella pneumoniae
mrki	klebsiella pneumoniae
mrkj	klebsiella pneumoniae
mtfa	klebsiella pneumoniae
multidrug_efflux_smr_transporter	klebsiella pneumoniae
nfae	escherichia coli
nfsa	escherichia coli
ompk35	klebsiella pneumoniae
ompk36	klebsiella pneumoniae
ompk37	klebsiella pneumoniae
ompr	enterobacter hormaechei
ompr	escherichia coli
ompr	klebsiella pneumoniae
oqxa10	klebsiella pneumoniae
oqxa11	klebsiella pneumoniae
oqxa3	klebsiella pneumoniae
oqxa6	enterobacter hormaechei
oqxa8	klebsiella pneumoniae
oqxb14	klebsiella pneumoniae
oqxb19	klebsiella pneumoniae
oqxb20	klebsiella pneumoniae
oqxb22	klebsiella pneumoniae
oqxb24	enterobacter hormaechei
oqxb25	klebsiella pneumoniae
oqxb32	klebsiella pneumoniae
oqxb5	klebsiella pneumoniae
oqxb9	enterobacter hormaechei
oqxr	enterobacter hormaechei
papa	escherichia coli
papb	escherichia coli
papb	klebsiella pneumoniae
papc	escherichia coli
papd	escherichia coli
pape	escherichia coli
papf	escherichia coli
papg	escherichia coli
papg-iii	escherichia coli
paph	escherichia coli
papi	escherichia coli
papj	escherichia coli
papk	escherichia coli
parc	enterobacter hormaechei
parc	escherichia coli
parc	klebsiella pneumoniae
pare	enterobacter hormaechei
pare	escherichia coli
pare	klebsiella pneumoniae
phoq	escherichia coli
pmrc	escherichia coli
pmre	escherichia coli
pmre	klebsiella pneumoniae
pmrl	escherichia coli
porin	enterobacter hormaechei
ptsi	enterobacter hormaechei
ptsi	escherichia coli
ptxd	klebsiella pneumoniae
ramr	klebsiella pneumoniae
rcsa	klebsiella pneumoniae
rcsb	enterobacter hormaechei
rcsb	escherichia coli
rcsb	klebsiella pneumoniae
rhs-paar	escherichia coli
rmpa	klebsiella pneumoniae
rmpa2	klebsiella pneumoniae
rnfc	escherichia coli
rnfc	klebsiella pneumoniae
roba	enterobacter hormaechei
roma	enterobacter hormaechei
rpos	enterobacter hormaechei
rpos	escherichia coli
rpos	klebsiella pneumoniae
rpsl	enterobacter hormaechei
rpsl	escherichia coli
rpsl	klebsiella pneumoniae
sat2	klebsiella pneumoniae
scin-tssj	klebsiella pneumoniae
senb	escherichia coli
senb	klebsiella pneumoniae
setb	enterobacter hormaechei
setb	klebsiella pneumoniae
sfab	escherichia coli
sfac	escherichia coli
sfad	escherichia coli
sfaf	escherichia coli
sfag	escherichia coli
sfag	klebsiella pneumoniae
sfah	escherichia coli
sfax	escherichia coli
sfay	escherichia coli
shua	escherichia coli
shut	escherichia coli
shux	escherichia coli
shuy	escherichia coli
shv-112	klebsiella pneumoniae
shvl-64	klebsiella pneumoniae
sila	enterobacter hormaechei
sila	klebsiella pneumoniae
silb	enterobacter hormaechei
silb	klebsiella pneumoniae
silc	enterobacter hormaechei
silc	klebsiella pneumoniae
sotb	enterobacter hormaechei
soxr	escherichia coli
srpc	enterobacter hormaechei
srpc	escherichia coli
srpc	klebsiella pneumoniae
suge	enterobacter hormaechei
suge	escherichia coli
suge	klebsiella pneumoniae
svhl-71	klebsiella pneumoniae
tcpc_group-2	escherichia coli
teml-100	klebsiella pneumoniae
tesa	enterobacter hormaechei
tesa	escherichia coli
tesa	klebsiella pneumoniae
tetc	escherichia coli
tetc	klebsiella pneumoniae
tle1	klebsiella pneumoniae
tli1	klebsiella pneumoniae
tssa	escherichia coli
tssb	escherichia coli
tssc	escherichia coli
tssf	escherichia coli
tssf	klebsiella pneumoniae
tssg	escherichia coli
