Sample	City	Taxon	(R)- and (S)-3-hydroxybutyrate biosynthesis	1,5-anhydrofructose degradation	2-aminoethylphosphonate degradation I	2-aminoethylphosphonate degradation II	3-methylbutanol biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	<i>all-trans</i>-farnesol biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	AEROBIC-RESPIRATION	AMINE-DEG	ANAEROBIC-RESPIRATION	AROMATIC-COMPOUNDS-BIOSYN	AROMATIC-COMPOUNDS-DEGRADATION	Acetoin-Biosynthesis	Acetyl-CoA-Biosynthesis	Acetyl-CoA-Butyrate	Acid-Resistance	Activation	Alcohol-Degradation	Aldehyde-Degradation	Amino-Acid-Biosynthesis	Amino-Acid-Degradation	Aminoacyl-tRNAs-Charging	Antibiotic-Resistance	Arsenate-Detoxification	Butanediol-Biosynthesis	C1-COMPOUNDS	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4 photosynthetic carbon assimilation cycle, PEPCK type	CARBOXYLATES-DEG	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	CHLORINATED-COMPOUNDS-DEG	Carbohydrates-Biosynthesis	Carbohydrates-Degradation	Cell-Structure-Biosynthesis	Cofactor-Biosynthesis	Cyanide-Detoxification	Electron-Transfer	Entner-Duodoroff-Pathways	Fatty-Acid-and-Lipid-Degradation	GLYCOLYSIS-VARIANTS	HORMONE-DEG	HORMONE-SYN	Hydrogen-Production	Interconversion	Lipid-Biosynthesis	METHANOGENESIS	Mercury-Detoxification	Metabolic-Regulators	NUCLEO-DEG	Noncarbon-Nutrients	Nucleotide-Biosynthesis	OTHER-ENERGY	Other-Degradation	Other-biosynthesis	Pentose-Phosphate-Cycle	Polyamine-Biosynthesis	Polymer-Degradation	Protein-Degradation	Pyruvate-Degradation	Rubisco shunt	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-DEGRADATION	Siderophores-Biosynthesis	Steroids-Degradation	TCA-VARIANTS	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic energy metabolism (invertebrates, mitochondrial)	bisabolene biosynthesis	chitin degradation to ethanol	citrulline biosynthesis	detoxification of reactive carbonyls in chloroplasts	ethylene glycol biosynthesis	fluoroacetate degradation	glutathione-mediated detoxification II	glyoxylate cycle	heterolactic fermentation	lactate biosynthesis (archaea)	methyl ketone biosynthesis	methylaspartate cycle	mixed acid fermentation	oxidized GTP and dGTP detoxification	photorespiration	photosynthesis light reactions	photosynthetic 3-hydroxybutyrate biosynthesis	pyruvate fermentation to hexanol	sedoheptulose bisphosphate bypass	succinate fermentation to butyrate	superoxide radicals degradation	superpathway of C28 brassinosteroid biosynthesis	superpathway of glycolysis and Entner-Doudoroff	superpathway of glyoxylate cycle and fatty acid degradation
BAL_Kl_2015_GCF_003334885.1	BAL	Kl	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	24.33333333333333	36.666666666666664	9.7	26.166666666666668	115.06666666666666	17.5	1.6666666666666667	0.0	1.0	8.25	22.666666666666664	18.666666666666668	90.94642857142857	86.86666666666666	1.3	1.0	2.5	26.0	23.047619047619047	1.4285714285714286	1.0	1.5714285714285714	41.083333333333336	1.6	13.333333333333332	192.49163614163615	119.77820512820513	62.48571428571429	178.96785714285716	0.0	1.0	2.2	73.25	14.41969696969697	13.833333333333332	52.14242424242424	0.0	11.333333333333334	200.96552028218696	11.0	0.0	1.0	34.30238095238095	138.25	54.916666666666664	5.0	16.583333333333332	23.0	7.199999999999999	43.916666666666664	38.9	2.0	16.5	1.7777777777777777	969.8193438140806	96.29166666666667	11.0	16.57777777777778	18.48690476190476	1.6	2.0	1.0	2.25	0.0	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.7692307692307692	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003334895.1	BAL	Kl	0.0	0.0	1.0	1.0	2.5	1.0	1.0	1.0	27.0	27.0	8.5	26.333333333333332	113.38333333333333	19.5	1.6666666666666667	0.0	1.0	8.5	21.75	20.666666666666668	91.39365079365079	87.7	1.2	1.0	2.5	28.0	22.85916305916306	1.2857142857142858	1.0	1.5714285714285714	35.833333333333336	1.2	14.166666666666666	203.1557387057387	127.00064102564103	65.80119047619047	178.52738095238095	0.0	1.0	1.0	77.0	16.305050505050506	9.0	58.516666666666666	0.0	10.666666666666666	197.31278659611993	12.333333333333334	0.0	1.0	35.61190476190476	146.5	65.19444444444444	5.0	13.0	21.0	7.866666666666667	45.833333333333336	36.55	2.0	14.5	1.7777777777777777	939.9363658271553	102.33333333333333	10.0	16.8	16.71785714285714	1.6	1.8	1.0	1.5	1.3333333333333333	9.0	0.0	0.0	6.0	1.25	1.625	5.333333333333333	0.0	0.0	1.5384615384615383	7.5	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.75
BAL_Kl_2015_GCF_003334925.1	BAL	Kl	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	25.0	36.666666666666664	9.6	27.166666666666664	111.81666666666666	17.5	1.6666666666666667	0.0	1.0	7.75	22.666666666666664	17.666666666666668	90.88531746031745	86.2	1.3	1.0	2.5	24.0	22.704761904761906	1.4285714285714286	1.0	1.5714285714285714	41.25	1.4	13.0	189.698778998779	115.66153846153846	62.6702380952381	178.76785714285714	0.0	1.0	2.2	72.0	14.253030303030304	13.833333333333332	50.768181818181816	0.0	11.333333333333334	205.51622574955908	11.333333333333332	0.0	1.0	34.15952380952381	136.25	54.86666666666667	5.0	16.583333333333332	23.5	7.199999999999999	43.416666666666664	38.65	2.0	16.5	1.7777777777777777	989.742071086808	93.54166666666667	11.0	16.77777777777778	17.85238095238095	1.6	2.0	1.0	2.5	0.0	8.11111111111111	0.0	0.0	6.0	1.5	1.5	4.666666666666667	0.0	0.0	1.6923076923076923	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003334945.1	BAL	Kl	0.0	0.0	1.0	1.0	2.5	1.0	1.0	1.0	26.33333333333333	27.0	8.5	28.5	107.08333333333333	19.5	1.6666666666666667	0.0	1.0	8.0	21.75	18.666666666666668	90.01031746031745	86.36666666666666	1.2	1.0	2.5	24.0	22.05916305916306	1.2857142857142858	1.0	1.4285714285714286	34.83333333333333	1.2	13.5	186.23846153846154	118.04679487179487	63.73571428571429	175.64404761904763	0.0	1.0	1.0	73.0	14.738383838383838	9.0	58.768181818181816	0.0	10.666666666666666	201.87451499118166	11.666666666666668	0.0	1.0	34.30238095238095	135.25	64.14444444444445	5.0	13.0	22.0	7.199999999999999	42.333333333333336	35.55	2.0	14.5	1.7777777777777777	938.7622040240461	94.75	10.0	17.2	16.71785714285714	1.6	1.8	1.0	1.5	1.3333333333333333	8.11111111111111	0.0	0.0	6.5	1.25	1.5	4.666666666666667	0.0	0.0	1.5384615384615383	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003334955.1	BAL	Kl	0.0	0.0	1.0	1.0	2.5	1.0	1.0	1.0	26.33333333333333	27.0	8.5	26.333333333333332	107.08333333333333	19.5	1.6666666666666667	0.0	1.0	8.0	21.75	19.666666666666668	89.84920634920636	84.7	1.2	1.0	2.5	26.0	22.259163059163058	1.2857142857142858	1.0	1.4285714285714286	34.833333333333336	1.2	13.833333333333332	187.02893772893773	122.0801282051282	62.05119047619048	174.47738095238094	0.0	1.0	1.0	74.75	14.905050505050506	9.0	56.14242424242424	0.0	10.666666666666666	193.20978835978835	11.0	0.0	1.0	34.15952380952381	135.75	64.14444444444445	5.0	12.0	21.0	7.199999999999999	42.83333333333333	35.3	2.0	14.5	1.7777777777777777	892.5322256690678	97.41666666666667	10.0	16.57777777777778	16.71785714285714	1.6	1.8	1.0	1.5	1.3333333333333333	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.5384615384615383	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003334965.1	BAL	Kl	0.0	0.0	1.0	1.0	2.5	1.0	1.0	1.0	26.33333333333333	27.0	8.5	26.333333333333336	109.15	19.5	1.6666666666666667	0.0	1.0	8.0	20.75	18.666666666666668	93.16031746031746	88.7	1.25	1.0	2.5	26.0	22.25916305916306	1.8571428571428568	1.0	2.0	34.583333333333336	1.2	13.833333333333332	188.23846153846154	122.0801282051282	63.58690476190476	175.97738095238094	0.0	1.0	1.0	74.75	14.905050505050506	9.0	57.14242424242424	0.0	11.333333333333334	195.32707231040564	11.666666666666666	0.0	1.0	34.30238095238095	137.75	64.64444444444445	5.0	12.0	21.0	7.199999999999999	43.833333333333336	35.55	2.0	14.5	1.7777777777777777	911.875367176683	97.08333333333333	10.0	16.57777777777778	16.96785714285714	2.0	1.8	1.0	1.5	1.3333333333333333	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.5384615384615383	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003335005.1	BAL	Kl	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	24.33333333333333	36.666666666666664	9.6	26.166666666666668	115.06666666666666	17.5	1.6666666666666667	0.0	1.0	8.25	22.666666666666664	18.666666666666668	90.69642857142857	86.86666666666666	1.3	1.0	2.5	26.0	22.904761904761905	1.4285714285714286	1.0	1.5714285714285714	41.083333333333336	1.4	13.333333333333332	192.1583028083028	119.77820512820513	62.15238095238095	180.10119047619048	0.0	1.0	2.2	73.25	14.41969696969697	13.833333333333332	52.14242424242424	0.0	11.0	200.93465608465607	11.0	0.0	1.0	34.30238095238095	138.25	54.916666666666664	5.0	16.583333333333332	23.0	7.199999999999999	43.916666666666664	38.9	2.0	16.5	1.7777777777777777	969.8193438140806	96.04166666666667	11.0	16.57777777777778	17.60238095238095	1.6	2.0	1.0	2.25	0.0	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.6923076923076923	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003335025.1	BAL	Kl	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	24.33333333333333	36.666666666666664	9.6	26.166666666666668	115.06666666666666	17.5	1.6666666666666667	0.0	1.0	8.25	22.666666666666664	18.666666666666668	90.69642857142857	86.86666666666666	1.3	1.0	2.5	26.0	22.904761904761905	1.4285714285714286	1.0	1.5714285714285714	41.083333333333336	1.4	13.333333333333332	199.70115995115995	120.77820512820513	62.21785714285714	178.4345238095238	0.0	1.0	2.2	73.25	14.41969696969697	13.833333333333332	52.14242424242424	0.0	11.0	200.93465608465607	11.0	0.0	1.0	34.30238095238095	138.25	54.916666666666664	5.0	16.583333333333332	23.0	7.199999999999999	43.916666666666664	38.9	2.0	16.5	1.7777777777777777	970.0693438140806	98.04166666666667	11.0	16.57777777777778	17.60238095238095	1.6	2.0	1.0	2.25	0.0	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.6923076923076923	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003335065.1	BAL	Kl	0.0	0.0	1.0	1.0	2.5	1.0	1.0	1.0	26.33333333333333	27.0	8.5	26.333333333333332	109.48333333333333	19.5	1.6666666666666667	0.0	1.0	8.25	21.75	19.666666666666668	90.16031746031746	85.7	1.2	1.0	2.5	26.0	22.25916305916306	1.2857142857142858	1.0	1.4285714285714286	34.833333333333336	1.2	13.833333333333332	202.72417582417583	122.41346153846153	63.30119047619048	176.22738095238094	0.0	1.0	1.0	74.75	14.905050505050506	9.0	57.14242424242424	0.0	11.333333333333334	195.11278659611992	11.666666666666666	0.0	1.0	34.80238095238095	136.75	64.64444444444445	5.0	12.0	21.0	7.866666666666667	43.833333333333336	35.55	2.0	14.5	1.7777777777777777	913.625367176683	100.58333333333333	10.0	16.57777777777778	16.71785714285714	1.6	1.8	1.0	1.5	1.3333333333333333	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.5384615384615383	7.5	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
BAL_Kl_2015_GCF_003345685.1	BAL	Kl	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	24.33333333333333	36.666666666666664	9.6	26.166666666666668	115.06666666666666	17.5	1.6666666666666667	0.0	1.0	8.25	22.666666666666664	18.666666666666668	89.56190476190476	86.86666666666667	1.3	1.0	2.5	26.0	21.56969696969697	1.4285714285714286	1.0	1.5714285714285714	41.083333333333336	1.4	13.333333333333332	192.1583028083028	119.37435897435897	62.21785714285714	178.4345238095238	0.0	1.0	2.2	73.25	14.41969696969697	13.833333333333332	52.14242424242424	0.0	11.0	221.75132275132276	11.0	0.0	1.0	34.30238095238095	138.25	54.916666666666664	5.0	16.583333333333332	23.0	5.066666666666666	42.83333333333333	38.9	2.0	16.5	1.3333333333333333	969.5693438140806	96.04166666666666	11.0	16.57777777777778	17.60238095238095	1.6	2.0	1.0	2.25	0.0	8.555555555555555	0.0	0.0	5.75	1.25	1.5	5.0	0.0	0.0	1.6923076923076923	7.0	1.0	2.0	1.25	0.0	1.0	0.0	2.0	1.0	1.5	2.5
