"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues","sign_rank"
"flia",8.07993530729376e-09,90.7108868433452,"NYC","MIN","NYC_vs_MIN",2.91685664593305e-06,1
"espx6",0.000388503582232673,15.9010322196886,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,2
"tssc",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,3
"tssf",0.000579225119746464,23.6183037009828,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,4
"senb",0.000388503582232696,16.1640749030816,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,5
"ybtt",4.91354071271127e-07,100.658990083281,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,1
"ybtq",8.9332009582058e-07,91.6856349615009,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,2
"ybtu",1.25954019753261e-07,88.7357479970494,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,3
"ybts",8.9332009582058e-07,91.6856349615009,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,4
"irp2",8.93320095820548e-07,95.2164129334838,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,5
"cyca",0.0144937621619278,18.8478838286716,"NYC","SAN","NYC_vs_SAN",0.350749044318653,1
"papc",0.0144937621619276,19.4315639938725,"NYC","SAN","NYC_vs_SAN",0.350749044318653,2
"sila",0.0144937621619276,19.2941709313,"NYC","SAN","NYC_vs_SAN",0.350749044318653,3
"ompr",0.0144937621619278,18.8478838286716,"NYC","SAN","NYC_vs_SAN",0.350749044318653,4
"espx5",0.0106560402535987,48.5703484089373,"NYC","SAN","NYC_vs_SAN",0.350749044318653,5
"irp1",2.92588376794807e-05,58.7930675491868,"NYC","DEN","NYC_vs_DEN",0.0105331815646131,1
"hlya",0.000319452771100098,39.0040720625334,"NYC","DEN","NYC_vs_DEN",0.0547872991496979,2
"merr",0.000456560826247483,84.4517408167439,"NYC","DEN","NYC_vs_DEN",0.0547872991496979,3
"ybtq",0.00688469502350174,60.2833906768773,"NYC","DEN","NYC_vs_DEN",0.19065309295851,4
"ybtu",0.00508717042120673,55.9592163063366,"NYC","DEN","NYC_vs_DEN",0.19065309295851,5
"vipbtssc",1.59960820781936e-06,72.9103652839634,"NYC","SAC","NYC_vs_SAC",0.000577458563022789,1
"rhspaar",0.00114338724875411,73.7472485698318,"NYC","SAC","NYC_vs_SAC",0.206381398400118,2
"merr",0.00374460791124086,84.3419194700989,"NYC","SAC","NYC_vs_SAC",0.450601151985983,3
