"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues","sign_rank"
"espx6",0.00830403428953683,14.673013763571,"NYC","MIN","NYC_vs_MIN",0.288487513974277,1
"espy2",0.00830403428953683,14.673013763571,"NYC","MIN","NYC_vs_MIN",0.288487513974277,2
"espy1",0.00830403428953683,14.673013763571,"NYC","MIN","NYC_vs_MIN",0.288487513974277,3
"sfax",0.00830403428953683,14.673013763571,"NYC","MIN","NYC_vs_MIN",0.288487513974277,4
"sfah",0.00830403428953696,14.5567417103956,"NYC","MIN","NYC_vs_MIN",0.288487513974277,5
"ybtu",2.45810834644872e-07,76.083887125561,"NYC","BAL","NYC_vs_BAL",2.34581006801301e-05,1
"irp2",2.45810834644872e-07,76.083887125561,"NYC","BAL","NYC_vs_BAL",2.34581006801301e-05,2
"ybtx",4.44868459611546e-07,81.4374141311224,"NYC","BAL","NYC_vs_BAL",2.34581006801301e-05,3
"ybtt",4.44868459611552e-07,80.7563230071047,"NYC","BAL","NYC_vs_BAL",2.34581006801301e-05,4
"ybtq",4.44868459611552e-07,80.7563230071047,"NYC","BAL","NYC_vs_BAL",2.34581006801301e-05,5
"ARO:3001878",0.00689134571625839,34.490753977339,"NYC","SAN","NYC_vs_SAN",0.998861639566833,1
"aac3ii",0.00689134571625841,34.3173874990014,"NYC","SAN","NYC_vs_SAN",0.998861639566833,2
"ARO:3002854",0.0307821213691407,83.8147742742037,"NYC","SAN","NYC_vs_SAN",0.998861639566833,3
"ptxd",0.038036845512352,55.1807972589406,"NYC","SAN","NYC_vs_SAN",0.998861639566833,4
"ARO:3002592",0.0390464942205782,18.8291129043556,"NYC","SAN","NYC_vs_SAN",0.998861639566833,5
"flig",0.00032311053420974,80.4868861113625,"NYC","DEN","NYC_vs_DEN",0.0832298949033747,1
"flii",0.000394454478215046,83.8797011318196,"NYC","DEN","NYC_vs_DEN",0.0832298949033747,2
"roba",0.558954481232899,33.6985304054093,"NYC","DEN","NYC_vs_DEN",0.999783155144953,3
"ARO:3003048",0.755697363878321,12.8924479244096,"NYC","DEN","NYC_vs_DEN",0.999783155144953,4
"ARO:3003583",0.755697363878321,12.8924479244096,"NYC","DEN","NYC_vs_DEN",0.999783155144953,5
"fosa9",0.992113253641524,65.2150788389807,"NYC","SAC","NYC_vs_SAC",0.999993401160878,1
"mcr9",0.992113253641524,63.8707461109637,"NYC","SAC","NYC_vs_SAC",0.999993401160878,2
"mrkc",0.992113253641526,64.2415791906535,"NYC","SAC","NYC_vs_SAC",0.999993401160878,3
"fima",0.992113253641527,63.6253613878807,"NYC","SAC","NYC_vs_SAC",0.999993401160878,4
"entb",0.992113253641527,63.9275981385048,"NYC","SAC","NYC_vs_SAC",0.999993401160878,5
"fliq",0.0238233088824785,12.8152027130485,"MIN","BAL","MIN_vs_BAL",0.999737237616984,1
"flha",0.0238233088824785,16.1631555801918,"MIN","BAL","MIN_vs_BAL",0.999737237616984,2
"flii",0.0238233088824785,16.1631555801918,"MIN","BAL","MIN_vs_BAL",0.999737237616984,3
"clbh",0.0549621034972624,22.4244419113824,"MIN","BAL","MIN_vs_BAL",0.999737237616984,4
"ARO:3003209",0.0549621034972625,22.8853618583182,"MIN","BAL","MIN_vs_BAL",0.999737237616984,5
"irp1",0.140135147619937,8.6889326342105,"MIN","SAN","MIN_vs_SAN",0.999609384659277,1
"ybte",0.140135147619937,8.6889326342105,"MIN","SAN","MIN_vs_SAN",0.999609384659277,2
"ybtt",0.140135147619937,8.6889326342105,"MIN","SAN","MIN_vs_SAN",0.999609384659277,3
"ybtq",0.140135147619937,8.6889326342105,"MIN","SAN","MIN_vs_SAN",0.999609384659277,4
"ybtu",0.140135147619937,8.6889326342105,"MIN","SAN","MIN_vs_SAN",0.999609384659277,5
"ARO:3003048",0.785206579384388,5.8021934132272,"MIN","DEN","MIN_vs_DEN",0.999666810577484,1
"ARO:3003583",0.785206579384388,5.8021934132272,"MIN","DEN","MIN_vs_DEN",0.999666810577484,2
"ARO:3000237",0.785206579384388,5.8021934132272,"MIN","DEN","MIN_vs_DEN",0.999666810577484,3
"ARO:3000535",0.785206579384388,5.8021934132272,"MIN","DEN","MIN_vs_DEN",0.999666810577484,4
"flig",0.785206579384388,5.8021934132272,"MIN","DEN","MIN_vs_DEN",0.999666810577484,5
"espy4",0.998784102550478,6.77954542452673,"MIN","SAC","MIN_vs_SAC",0.99970901402718,1
"espx4",0.998784102550478,6.77954542452673,"MIN","SAC","MIN_vs_SAC",0.99970901402718,2
"espx1",0.998784102550478,6.77954542452673,"MIN","SAC","MIN_vs_SAC",0.99970901402718,3
"virb",0.998784102550478,6.77954542452673,"MIN","SAC","MIN_vs_SAC",0.99970901402718,4
