"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues","sign_rank"
"flia",8.07993530729376e-09,90.7108868433452,"NYC","MIN","NYC_vs_MIN",2.91685664593305e-06,1
"espx6",0.000388503582232673,15.9010322196886,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,2
"espy1",0.000388503582232673,15.9010322196886,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,3
"sfax",0.000388503582232673,15.9010322196886,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,4
"espy3",0.000388503582232684,16.8130669942306,"NYC","MIN","NYC_vs_MIN",0.0110052772751828,5
"ybtu",1.25954019753261e-07,88.7357479970494,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,1
"ybtx",4.54481508122028e-07,87.3053446853698,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,2
"ybta",4.54481508122032e-07,86.9012914296233,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,3
"ybtt",4.91354071271127e-07,100.658990083281,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,4
"clbj",8.93320095820535e-07,94.4147248778916,"NYC","BAL","NYC_vs_BAL",3.66261239286438e-05,5
"aac3ii",0.00608264605581657,35.9865543865167,"NYC","SAN","NYC_vs_SAN",0.350749044318653,1
"ARO.3001878",0.0060826460558166,36.1599208648543,"NYC","SAN","NYC_vs_SAN",0.350749044318653,2
"ARO.3002854",0.0078699123117208,92.3503966860219,"NYC","SAN","NYC_vs_SAN",0.350749044318653,3
"espx5",0.0106560402535987,48.5703484089373,"NYC","SAN","NYC_vs_SAN",0.350749044318653,4
"fime",0.0122450021630772,87.6746417345886,"NYC","SAN","NYC_vs_SAN",0.350749044318653,5
"irp1",2.92588376794807e-05,58.7930675491868,"NYC","DEN","NYC_vs_DEN",0.0105331815646131,1
"hlya",0.000319452771100098,39.0040720625334,"NYC","DEN","NYC_vs_DEN",0.0547872991496979,2
"merr",0.000456560826247483,84.4517408167439,"NYC","DEN","NYC_vs_DEN",0.0547872991496979,3
"papg",0.00407919320473474,18.5873271028361,"NYC","DEN","NYC_vs_DEN",0.19065309295851,4
"allc",0.0050871704212067,55.9362126901561,"NYC","DEN","NYC_vs_DEN",0.19065309295851,5
"vipbtssc",1.59960820781936e-06,72.9103652839634,"NYC","SAC","NYC_vs_SAC",0.000577458563022789,1
"rhspaar",0.00114338724875411,73.7472485698318,"NYC","SAC","NYC_vs_SAC",0.206381398400118,2
"merr",0.00374460791124086,84.3419194700989,"NYC","SAC","NYC_vs_SAC",0.450601151985983,3
