"samples","klebsciella","enterobacter","escherichia","enterobacter.rel","escherichia.rel","klebsciella.rel","enterobacter.relTot","escherichia.relTot","klebsciella.relTot"
"CAMDA23_MetaSUB_gCSD16_AKL_10",3,0,1,0,0.25,0.75,0,3.04488155410755e-05,9.13464466232264e-05
"CAMDA23_MetaSUB_gCSD16_AKL_11",1,6,1,0.75,0.125,0.125,0.000683449139993166,0.000113908189998861,0.000113908189998861
"CAMDA23_MetaSUB_gCSD16_AKL_12",12,11,4,0.407407407407407,0.148148148148148,0.444444444444444,0.000789775990809879,0.000287191269385411,0.000861573808156232
"CAMDA23_MetaSUB_gCSD16_AKL_13",0,0,0,NA,NA,NA,0,0,0
"CAMDA23_MetaSUB_gCSD16_AKL_14",10,12,1,0.521739130434783,0.0434782608695652,0.434782608695652,0.000413095115150263,3.44245929291886e-05,0.000344245929291886
"CAMDA23_MetaSUB_gCSD16_AKL_1",0,1,1,0.5,0.5,0,7.57690559175633e-05,7.57690559175633e-05,0
"CAMDA23_MetaSUB_gCSD16_AKL_2",1,0,1,0,0.5,0.5,0,0.00168634064080944,0.00168634064080944
"CAMDA23_MetaSUB_gCSD16_AKL_3",0,1,0,1,0,0,0.000118906064209275,0,0
"CAMDA23_MetaSUB_gCSD16_AKL_4",11,2025,9,0.990220048899755,0.00440097799511002,0.00537897310513447,0.0995868987902036,0.000442608439067572,0.000540965869971476
"CAMDA23_MetaSUB_gCSD16_AKL_5",1,0,0,0,0,1,0,0,0.00104166666666667
"CAMDA23_MetaSUB_gCSD16_AKL_6",1,1,0,0.5,0,0.5,0.000240326844508532,0,0.000240326844508532
"CAMDA23_MetaSUB_gCSD16_AKL_7",19,58,5,0.707317073170732,0.0609756097560976,0.231707317073171,0.00830350751610594,0.000715819613457409,0.00272011453113815
"CAMDA23_MetaSUB_gCSD16_AKL_8",30,49,5,0.583333333333333,0.0595238095238095,0.357142857142857,0.00661715057393653,0.000675219446320054,0.00405131667792032
"CAMDA23_MetaSUB_gCSD16_AKL_9",18,13,7,0.342105263157895,0.184210526315789,0.473684210526316,0.000831787062511997,0.000447885341352614,0.00115170516347815
"CAMDA23_MetaSUB_gCSD16_BER_10",799,408,302,0.27037773359841,0.200132538104705,0.529489728296885,0.000584072012643441,0.000432327813280194,0.00114380769142674
"CAMDA23_MetaSUB_gCSD16_BER_11",73,62,31,0.373493975903614,0.186746987951807,0.439759036144578,0.000376336906510629,0.000188168453255314,0.00044310635766574
"CAMDA23_MetaSUB_gCSD16_BER_12",108,104,36,0.419354838709677,0.145161290322581,0.435483870967742,0.000167145334475493,5.7858000395363e-05,0.000173574001186089
"CAMDA23_MetaSUB_gCSD16_BER_13",188,168,65,0.399049881235154,0.154394299287411,0.446555819477435,0.00109469788293249,0.000423543823753641,0.00122501905947207
"CAMDA23_MetaSUB_gCSD16_BER_14",202,346,33,0.59552495697074,0.0567986230636833,0.347676419965577,0.000191373163287769,1.8252353723978e-05,0.000111726528855865
"CAMDA23_MetaSUB_gCSD16_BER_15",668,3141,166,0.790188679245283,0.0417610062893082,0.168050314465409,0.0173776895031231,0.000918400655052033,0.00369573275647445
"CAMDA23_MetaSUB_gCSD16_BER_1",2,2,0,0.5,0,0.5,9.87313027595399e-05,0,9.87313027595399e-05
"CAMDA23_MetaSUB_gCSD16_BER_2",8,4,2,0.285714285714286,0.142857142857143,0.571428571428571,0.000210892602941952,0.000105446301470976,0.000421785205883904
"CAMDA23_MetaSUB_gCSD16_BER_3",3,1,0,0.25,0,0.75,0.000128419160138693,0,0.000385257480416078
"CAMDA23_MetaSUB_gCSD16_BER_4",1,0,1,0,0.5,0.5,0,5.44840361774e-05,5.44840361774e-05
"CAMDA23_MetaSUB_gCSD16_BER_5",17,177,3,0.898477157360406,0.0152284263959391,0.0862944162436548,0.0145165258755023,0.000246042811449192,0.00139424259821209
"CAMDA23_MetaSUB_gCSD16_BER_6",3,5,4,0.416666666666667,0.333333333333333,0.25,0.000400898011545863,0.00032071840923669,0.000240538806927518
"CAMDA23_MetaSUB_gCSD16_BER_7",3,1,1,0.2,0.2,0.6,7.00035001750088e-05,7.00035001750088e-05,0.000210010500525026
"CAMDA23_MetaSUB_gCSD16_BER_8",98,134,36,0.5,0.134328358208955,0.365671641791045,6.35356247567036e-05,1.70692723226965e-05,4.64663524340071e-05
"CAMDA23_MetaSUB_gCSD16_BER_9",948,1466,117,0.579217700513631,0.0462267878308969,0.374555511655472,0.000684268134155762,5.46107583193889e-05,0.000442487169972485
"CAMDA23_MetaSUB_gCSD16_BOG_10",1073,254,828,0.117865429234339,0.384222737819025,0.497911832946636,0.000495391300616704,0.0016148976256324,0.00209273569118789
"CAMDA23_MetaSUB_gCSD16_BOG_11",211,148,65,0.349056603773585,0.153301886792453,0.497641509433962,0.00023131469582899,0.000101590913708678,0.000329779735269708
"CAMDA23_MetaSUB_gCSD16_BOG_12",242,170,60,0.360169491525424,0.127118644067797,0.51271186440678,0.000224938241221124,7.93899674898083e-05,0.000320206202208894
"CAMDA23_MetaSUB_gCSD16_BOG_13",452,256,113,0.311814859926918,0.137637028014616,0.550548112058465,0.000443457443675708,0.00019574488724748,0.000782979548989922
"CAMDA23_MetaSUB_gCSD16_BOG_14",430,276,101,0.342007434944238,0.125154894671623,0.532837670384139,0.000565140650403175,0.000206808716270727,0.000880472752439729
"CAMDA23_MetaSUB_gCSD16_BOG_15",2195,583,167,0.197962648556876,0.0567062818336163,0.745331069609508,0.0012494347540028,0.000357899835194627,0.00470413256438447
"CAMDA23_MetaSUB_gCSD16_BOG_16",3610,1062,1294,0.17800871605766,0.216895742541066,0.605095541401274,0.00140758825260245,0.00171508399140072,0.00478473972871454
"CAMDA23_MetaSUB_gCSD16_BOG_1",411,223,84,0.31058495821727,0.116991643454039,0.572423398328691,0.000347610837975938,0.000130938611614255,0.000640663921112604
"CAMDA23_MetaSUB_gCSD16_BOG_2",151,118,82,0.336182336182336,0.233618233618234,0.43019943019943,0.00032512619304781,0.000225935151101021,0.000416051314832367
"CAMDA23_MetaSUB_gCSD16_BOG_3",155,120,44,0.376175548589342,0.137931034482759,0.4858934169279,0.000266399083587152,9.76796639819559e-05,0.000344098816300072
"CAMDA23_MetaSUB_gCSD16_BOG_4",1611,440,90,0.205511443250817,0.0420364315740308,0.752452125175152,0.00053175289926183,0.000108767638485374,0.0019469407288882
"CAMDA23_MetaSUB_gCSD16_BOG_5",849,1291,136,0.567223198594025,0.0597539543057996,0.373022847100176,0.0013616218804515,0.000143439640388384,0.00089544304918925
"CAMDA23_MetaSUB_gCSD16_BOG_6",1420,468,122,0.232835820895522,0.0606965174129353,0.706467661691542,0.000806270996640538,0.000210181755534499,0.00244637781031958
"CAMDA23_MetaSUB_gCSD16_BOG_8",7303,5105,132,0.407097288676236,0.0105263157894737,0.58237639553429,0.00605626333890517,0.000156596818949164,0.00866383764231626
"CAMDA23_MetaSUB_gCSD16_BOG_9",915,283,61,0.224781572676728,0.0484511517077045,0.726767275615568,0.0005132073829325,0.000110620672646228,0.00165931008969342
"CAMDA23_MetaSUB_gCSD16_DEN_10",3,1,4,0.125,0.5,0.375,0.000361794500723589,0.00144717800289436,0.00108538350217077
"CAMDA23_MetaSUB_gCSD16_DEN_11",1,1,0,0.5,0,0.5,0.000558659217877095,0,0.000558659217877095
"CAMDA23_MetaSUB_gCSD16_DEN_12",8,1,2,0.0909090909090909,0.181818181818182,0.727272727272727,0.000189753320683112,0.000379506641366224,0.0015180265654649
"CAMDA23_MetaSUB_gCSD16_DEN_13",3,3,0,0.5,0,0.5,0.000500333555703803,0,0.000500333555703803
"CAMDA23_MetaSUB_gCSD16_DEN_14",0,2,2,0.5,0.5,0,0.000321130378933847,0.000321130378933847,0
"CAMDA23_MetaSUB_gCSD16_DEN_15",1,2,0,0.666666666666667,0,0.333333333333333,0.000141023833027782,0,7.05119165138909e-05
"CAMDA23_MetaSUB_gCSD16_DEN_16",1,0,0,0,0,1,0,0,7.30940720707551e-05
"CAMDA23_MetaSUB_gCSD16_DEN_17",3,0,8,0,0.727272727272727,0.272727272727273,0,0.000605281077400318,0.000226980404025119
"CAMDA23_MetaSUB_gCSD16_DEN_18",7,3,0,0.3,0,0.7,0.00103376981392143,0,0.00241212956581668
"CAMDA23_MetaSUB_gCSD16_DEN_19",5,1,0,0.166666666666667,0,0.833333333333333,0.000395100750691426,0,0.00197550375345713
"CAMDA23_MetaSUB_gCSD16_DEN_1",2,0,0,0,0,1,0,0,0.000230494410510545
"CAMDA23_MetaSUB_gCSD16_DEN_20",0,1,0,1,0,0,0.000248385494287134,0,0
"CAMDA23_MetaSUB_gCSD16_DEN_21",3,1,0,0.25,0,0.75,7.61208799573723e-05,0,0.000228362639872117
"CAMDA23_MetaSUB_gCSD16_DEN_22",1,2,1,0.5,0.25,0.25,0.000487685930260912,0.000243842965130456,0.000243842965130456
"CAMDA23_MetaSUB_gCSD16_DEN_2",0,1,0,1,0,0,0.000292397660818713,0,0
"CAMDA23_MetaSUB_gCSD16_DEN_3",1,0,1,0,0.5,0.5,0,0.000802568218298555,0.000802568218298555
"CAMDA23_MetaSUB_gCSD16_DEN_4",6,2,2,0.2,0.2,0.6,0.000480076812289966,0.000480076812289966,0.0014402304368699
"CAMDA23_MetaSUB_gCSD16_DEN_5",1,4,0,0.8,0,0.2,0.00041407867494824,0,0.00010351966873706
"CAMDA23_MetaSUB_gCSD16_DEN_6",5,2,1,0.25,0.125,0.625,0.000528680941052075,0.000264340470526038,0.00132170235263019
"CAMDA23_MetaSUB_gCSD16_DEN_7",2,0,0,0,0,1,0,0,9.34317481080071e-05
"CAMDA23_MetaSUB_gCSD16_DEN_8",0,1,0,1,0,0,0.00029655990510083,0,0
"CAMDA23_MetaSUB_gCSD16_DEN_9",0,1,0,1,0,0,0.000548847420417124,0,0
"CAMDA23_MetaSUB_gCSD16_DOH_10",0,3,1,0.75,0.25,0,0.000244319569997557,8.14398566658523e-05,0
"CAMDA23_MetaSUB_gCSD16_DOH_11",2,6,2,0.6,0.2,0.2,0.000807102502017756,0.000269034167339252,0.000269034167339252
"CAMDA23_MetaSUB_gCSD16_DOH_12",14,3,9,0.115384615384615,0.346153846153846,0.538461538461538,0.000185276679841897,0.000555830039525692,0.000864624505928854
"CAMDA23_MetaSUB_gCSD16_DOH_14",9,16,1,0.615384615384615,0.0384615384615385,0.346153846153846,0.000730893974692796,4.56808734182998e-05,0.000411127860764698
"CAMDA23_MetaSUB_gCSD16_DOH_15",0,26,1,0.962962962962963,0.037037037037037,0,0.00115668653794822,4.44879437672391e-05,0
"CAMDA23_MetaSUB_gCSD16_DOH_1",2,4,1,0.571428571428571,0.142857142857143,0.285714285714286,0.000177038151721696,4.4259537930424e-05,8.8519075860848e-05
"CAMDA23_MetaSUB_gCSD16_DOH_2",6,5,4,0.333333333333333,0.266666666666667,0.4,0.000140785583556244,0.000112628466844995,0.000168942700267493
"CAMDA23_MetaSUB_gCSD16_DOH_3",4,23,3,0.766666666666667,0.1,0.133333333333333,0.00386165211551377,0.000503693754197448,0.000671591672263264
"CAMDA23_MetaSUB_gCSD16_DOH_4",3,5,0,0.625,0,0.375,0.000384113082891603,0,0.000230467849734962
"CAMDA23_MetaSUB_gCSD16_DOH_5",4,48,4,0.857142857142857,0.0714285714285714,0.0714285714285714,0.00618955512572534,0.000515796260477112,0.000515796260477112
"CAMDA23_MetaSUB_gCSD16_DOH_6",6,5,1,0.416666666666667,0.0833333333333333,0.5,0.000426293801688123,8.52587603376247e-05,0.000511552562025748
"CAMDA23_MetaSUB_gCSD16_DOH_8",2,14,1,0.823529411764706,0.0588235294117647,0.117647058823529,0.00531107738998483,0.000379362670713202,0.000758725341426404
"CAMDA23_MetaSUB_gCSD16_DOH_9",7,51,0,0.879310344827586,0,0.120689655172414,0.0133788037775446,0,0.00183630640083945
"CAMDA23_MetaSUB_gCSD16_ILR_10",24,41,9,0.554054054054054,0.121621621621622,0.324324324324324,0.000519981229945846,0.000114142221207625,0.000304379256553666
"CAMDA23_MetaSUB_gCSD16_ILR_11",348,844,61,0.673583399840383,0.048683160415004,0.277733439744613,0.0152525526339568,0.00110237643444475,0.00628896719978314
"CAMDA23_MetaSUB_gCSD16_ILR_12",98,152,21,0.560885608856089,0.0774907749077491,0.361623616236162,0.00125893470932688,0.000173931769051741,0.000811681588908123
"CAMDA23_MetaSUB_gCSD16_ILR_13",8,10,5,0.434782608695652,0.217391304347826,0.347826086956522,0.000233208955223881,0.00011660447761194,0.000186567164179104
"CAMDA23_MetaSUB_gCSD16_ILR_14",2,5,3,0.5,0.3,0.2,0.000126023944549464,7.56143667296786e-05,5.04095778197858e-05
"CAMDA23_MetaSUB_gCSD16_ILR_15",95,221,32,0.635057471264368,0.0919540229885057,0.272988505747126,0.00250356843464667,0.000362507646645671,0.00107619457597934
"CAMDA23_MetaSUB_gCSD16_ILR_16",7,90,4,0.891089108910891,0.0396039603960396,0.0693069306930693,0.00274223034734918,0.00012187690432663,0.000213284582571603
"CAMDA23_MetaSUB_gCSD16_ILR_1",1005,318,2756,0.0779602843834273,0.675655797989703,0.246383917626869,0.00541460922867359,0.0469266133151711,0.0171122084113741
"CAMDA23_MetaSUB_gCSD16_ILR_2",143,267,22,0.618055555555556,0.0509259259259259,0.331018518518519,0.00525725087128596,0.000433181719731427,0.00281568117825428
"CAMDA23_MetaSUB_gCSD16_ILR_3",2113,135,465,0.0497604128271286,0.171396977515665,0.778842609657206,0.00126582278481013,0.00436005625879044,0.0198124706985466
"CAMDA23_MetaSUB_gCSD16_ILR_4",307,595,51,0.624344176285414,0.0535152151101784,0.322140608604407,0.0184296112745857,0.00157968096639306,0.00950905993495431
"CAMDA23_MetaSUB_gCSD16_ILR_5",2,9,3,0.642857142857143,0.214285714285714,0.142857142857143,0.000355787476280835,0.000118595825426945,7.90638836179633e-05
"CAMDA23_MetaSUB_gCSD16_ILR_6",90,3801,28,0.969890278132177,0.00714467976524624,0.0229650421025772,0.0923222656724393,0.000680090354861432,0.0021860047120546
"CAMDA23_MetaSUB_gCSD16_ILR_7",33,100,24,0.636942675159236,0.152866242038217,0.210191082802548,0.00146427891584789,0.000351426939803494,0.000483212042229804
"CAMDA23_MetaSUB_gCSD16_ILR_9",8,52,2,0.838709677419355,0.032258064516129,0.129032258064516,0.00190748688602766,7.3364880231833e-05,0.000293459520927332
"CAMDA23_MetaSUB_gCSD16_LIS_11",52,3092,67,0.962939894113983,0.0208657739022112,0.0161943319838057,0.1036019433741,0.00224493214943877,0.00174233539956442
"CAMDA23_MetaSUB_gCSD16_LIS_12",2,13,3,0.722222222222222,0.166666666666667,0.111111111111111,0.00115833556090172,0.000267308206361935,0.000178205470907957
"CAMDA23_MetaSUB_gCSD16_LIS_13",15,32,11,0.551724137931034,0.189655172413793,0.258620689655172,0.00100389007403689,0.000345087212950182,0.000470573472204794
