Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
BAL_En	BAL	En	0.0	1.0	0.0	82.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
BAL_Es	BAL	Es	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAL_Kl	BAL	Kl	0.0	0.0	0.0	59.0	0.0	36.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0
DEN_En	DEN	En	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEN_Es	DEN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEN_Kl	DEN	Kl	2.0	3.0	1.0	494.0	0.0	288.0	2.0	27.0	17.0	2.0	2.0	8.0	4.0
MIN_Es	MIN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NYC_En	NYC	En	1.0	3.0	1.0	603.0	1.0	333.0	8.0	43.0	21.0	2.0	4.0	8.0	5.0
NYC_Es	NYC	Es	0.0	1.0	0.0	202.0	0.0	97.0	2.0	12.0	10.0	2.0	1.0	8.0	2.0
NYC_Kl	NYC	Kl	2.0	3.0	1.0	598.0	0.0	375.0	7.0	40.0	22.0	2.0	5.0	10.0	5.0
SAC_En	SAC	En	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAC_Kl	SAC	Kl	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SAN_Es	SAN	Es	0.0	1.0	0.0	55.0	0.0	24.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0
