Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
BAL_En	BAL	En	0.0	2.0	0.0	82.16949152542372	0.0	32.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
BAL_Es	BAL	Es	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAL_Kl	BAL	Kl	0.0	0.0	0.0	60.317460317460316	0.0	36.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0
DEN_En	DEN	En	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEN_Es	DEN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEN_Kl	DEN	Kl	3.0	15.166666666666666	1.0	1567.3311518546811	0.0	697.3630952380953	5.0	39.83571428571428	44.044444444444444	9.222222222222221	2.333333333333333	26.333333333333336	6.0
MIN_Es	MIN	Es	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NYC_En	NYC	En	7.0	92.0	4.5	8235.906172531171	7.333333333333333	3533.8654761904745	65.5	366.0463564213564	289.4375	66.16666666666666	22.333333333333332	151.2	36.8
NYC_Es	NYC	Es	0.0	1.3333333333333333	0.0	460.3522875816993	0.0	132.0	3.0	14.333333333333332	18.0	2.4444444444444446	1.0	13.0	2.0
NYC_Kl	NYC	Kl	3.333333333333333	35.08333333333333	1.0	3734.0891911207714	0.0	1740.0623182373179	27.5	156.86277056277058	131.5721153846154	28.944444444444443	11.857142857142858	77.4	20.9
SAC_En	SAC	En	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAC_Kl	SAC	Kl	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SAN_Es	SAN	Es	0.0	2.0	0.0	55.0	0.0	24.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0
