Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
BAL_Kl_2015_GCF_003334885.1	BAL	Kl	2.0	3.0	1.0	594.0	0.0	358.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003334895.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	338.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003334925.1	BAL	Kl	2.0	3.0	1.0	594.0	0.0	358.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003334945.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003334955.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003334965.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003335005.1	BAL	Kl	2.0	3.0	1.0	594.0	0.0	358.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003335025.1	BAL	Kl	2.0	3.0	1.0	594.0	0.0	358.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003335065.1	BAL	Kl	2.0	3.0	1.0	588.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003345685.1	BAL	Kl	2.0	3.0	1.0	599.0	0.0	358.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003345715.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2015_GCF_003345765.1	BAL	Kl	2.0	3.0	1.0	583.0	1.0	341.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003860845.1	BAL	Kl	2.0	3.0	1.0	581.0	0.0	338.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003860885.1	BAL	Kl	2.0	3.0	1.0	583.0	0.0	340.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003860895.1	BAL	Kl	2.0	3.0	1.0	586.0	0.0	339.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003860985.1	BAL	Kl	2.0	3.0	1.0	584.0	0.0	335.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003860995.1	BAL	Kl	2.0	3.0	1.0	586.0	0.0	340.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861035.1	BAL	Kl	2.0	3.0	1.0	584.0	0.0	340.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861085.1	BAL	Kl	2.0	3.0	1.0	583.0	0.0	344.0	7.0	39.0	18.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861135.1	BAL	Kl	2.0	3.0	1.0	583.0	0.0	340.0	8.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861255.1	BAL	Kl	2.0	3.0	1.0	587.0	0.0	340.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861365.1	BAL	Kl	2.0	3.0	1.0	582.0	0.0	343.0	6.0	37.0	18.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861425.1	BAL	Kl	2.0	3.0	1.0	582.0	0.0	343.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861435.1	BAL	Kl	2.0	3.0	1.0	585.0	0.0	339.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861475.1	BAL	Kl	2.0	3.0	1.0	583.0	0.0	346.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
BAL_Kl_2017_GCF_003861575.1	BAL	Kl	2.0	3.0	1.0	586.0	0.0	343.0	7.0	37.0	17.0	2.0	5.0	10.0	5.0
MIN_Es_2017_GCF_013423565.1	MIN	Es	1.0	3.0	1.0	574.0	1.0	307.0	9.0	38.0	18.0	2.0	5.0	10.0	5.0
MIN_Es_2017_GCF_013423645.1	MIN	Es	1.0	3.0	1.0	575.0	1.0	307.0	8.0	38.0	18.0	2.0	5.0	10.0	5.0
NYC_En_2015_GCF_029069505.1	NYC	En	1.0	3.0	1.0	564.0	1.0	294.0	7.0	36.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2015_GCF_029069575.1	NYC	En	1.0	3.0	1.0	564.0	1.0	296.0	8.0	37.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2015_GCF_029069675.1	NYC	En	1.0	3.0	1.0	564.0	1.0	296.0	8.0	37.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2015_GCF_029069825.1	NYC	En	1.0	3.0	1.0	564.0	1.0	296.0	8.0	37.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2015_GCF_029070195.1	NYC	En	1.0	3.0	1.0	563.0	1.0	296.0	7.0	37.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2015_GCF_029075245.1	NYC	En	1.0	3.0	1.0	566.0	1.0	296.0	9.0	36.0	15.0	2.0	5.0	8.0	5.0
NYC_En_2016_GCF_020783935.1	NYC	En	1.0	3.0	1.0	564.0	1.0	291.0	9.0	36.0	15.0	2.0	4.0	8.0	5.0
NYC_En_2016_GCF_029069745.1	NYC	En	1.0	3.0	1.0	569.0	1.0	291.0	9.0	36.0	15.0	2.0	5.0	8.0	5.0
NYC_Es_2015_GCF_027584315.1	NYC	Es	1.0	3.0	1.0	578.0	0.0	303.0	7.0	38.0	19.0	2.0	5.0	10.0	5.0
NYC_Es_2015_GCF_027584335.1	NYC	Es	1.0	3.0	1.0	575.0	1.0	313.0	9.0	40.0	19.0	2.0	5.0	10.0	5.0
NYC_Es_2016_GCF_002214205.1	NYC	Es	1.0	3.0	1.0	573.0	1.0	310.0	8.0	38.0	19.0	2.0	5.0	10.0	5.0
NYC_Es_2018_GCF_022569415.1	NYC	Es	1.0	3.0	1.0	575.0	1.0	313.0	9.0	40.0	20.0	2.0	5.0	10.0	5.0
NYC_Es_2018_GCF_022812305.1	NYC	Es	1.0	3.0	1.0	571.0	1.0	312.0	9.0	40.0	19.0	2.0	5.0	10.0	5.0
NYC_Es_2018_GCF_022812315.1	NYC	Es	1.0	3.0	1.0	571.0	1.0	313.0	9.0	40.0	19.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584255.1	NYC	Kl	2.0	3.0	1.0	590.0	0.0	337.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584275.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	345.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584375.1	NYC	Kl	2.0	3.0	1.0	593.0	0.0	343.0	6.0	38.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584385.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	349.0	8.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584415.1	NYC	Kl	2.0	3.0	1.0	583.0	0.0	337.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584435.1	NYC	Kl	2.0	3.0	1.0	590.0	0.0	344.0	7.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584455.1	NYC	Kl	2.0	3.0	1.0	585.0	0.0	343.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584485.1	NYC	Kl	2.0	3.0	1.0	587.0	0.0	340.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584495.1	NYC	Kl	2.0	3.0	1.0	583.0	0.0	337.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584535.1	NYC	Kl	2.0	3.0	1.0	583.0	0.0	337.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
