"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1094892","Viruses","Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae",NA,NA
"351073","Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Spinareoviridae",NA,NA
"2169803","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae",NA,NA
"2750282","Viruses","Uroviricota","Caudoviricetes","","Rountreeviridae",NA,NA
"180230","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Alloherpesviridae",NA,NA
"2713640","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae",NA,NA
"369960","Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae",NA,NA
"119164","Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae",NA,NA
"12742","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Iflaviridae",NA,NA
"337051","Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae",NA,NA
"1891726","Viruses","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae",NA,NA
"2023057","Viruses","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae",NA,NA
"2083300","Viruses","","","","Polydnaviriformidae",NA,NA
"2734125","Viruses","Uroviricota","Caudoviricetes","","Kyanoviridae",NA,NA
"2956543","Viruses","Uroviricota","Caudoviricetes","Thumleimavirales","Druskaviridae",NA,NA
"261939","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Malacoherpesviridae",NA,NA
"2508226","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Mononiviridae",NA,NA
"1980489","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae",NA,NA
"328615","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Ascoviridae",NA,NA
"2169700","Viruses","Preplasmiviricota","Tectiliviricetes","Kalamavirales","Tectiviridae",NA,NA
"342409","Viruses","","Naldaviricetes","","Nimaviridae",NA,NA
"1980931","Viruses","Uroviricota","Caudoviricetes","","Herelleviridae",NA,NA
"2734501","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Gresnaviridae",NA,NA
"642478","Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae",NA,NA
"2955582","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Intestiviridae",NA,NA
"1983569","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Dicistroviridae",NA,NA
"619599","Viruses","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Geminiviridae",NA,NA
"1982585","Viruses","Uroviricota","Caudoviricetes","","Salasmaviridae",NA,NA
"2955844","Viruses","Uroviricota","Caudoviricetes","","Schitoviridae",NA,NA
"2011088","Viruses","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae",NA,NA
"2509395","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Medioniviridae",NA,NA
"1330070","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae",NA,NA
"631345","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Solinviviridae",NA,NA
"1826170","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Marseilleviridae",NA,NA
"2841283","Viruses","Uroviricota","Caudoviricetes","","Ackermannviridae",NA,NA
"2866684","Viruses","Uroviricota","Caudoviricetes","","Peduoviridae",NA,NA
"2733973","Viruses","Uroviricota","Caudoviricetes","","Chaseviridae",NA,NA
"2955411","Viruses","Uroviricota","Caudoviricetes","","Pachyviridae",NA,NA
"2704413","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae",NA,NA
"103722","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae",NA,NA
"2844585","Viruses","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae",NA,NA
"56947","Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA,NA
"2956054","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Steigviridae",NA,NA
"2955569","Viruses","Uroviricota","Caudoviricetes","","Pervagoviridae",NA,NA
"1980944","Viruses","Uroviricota","Caudoviricetes","","Vertoviridae",NA,NA
"2747309","Viruses","","Naldaviricetes","Lefavirales","Hytrosaviridae",NA,NA
"1546257","Viruses","","Naldaviricetes","Lefavirales","Nudiviridae",NA,NA
"1450746","Viruses","","","","Pithoviridae",NA,NA
"1933301","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae",NA,NA
"1307800","Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae",NA,NA
"2170145","Viruses","Cressdnaviricota","Arfiviricetes","Baphyvirales","Bacilladnaviridae",NA,NA
"2955513","Viruses","Uroviricota","Caudoviricetes","","Orlajensenviridae",NA,NA
"1980430","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Fimoviridae",NA,NA
"1513278","Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Kitaviridae",NA,NA
"2956048","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Crevaviridae",NA,NA
"74501","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Tobaniviridae",NA,NA
"1678905","Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Totiviridae",NA,NA
"2846071","Viruses","Kitrinoviricota","Alsuviricetes","Hepelivirales","Matonaviridae",NA,NA
"2747343","Viruses","Saleviricota","Huolimaviricetes","Haloruvirales","Pleolipoviridae",NA,NA
"1298531","Viruses","","","","Fuselloviridae",NA,NA
"2955515","Viruses","Uroviricota","Caudoviricetes","","Mesyanzhinovviridae",NA,NA
"2956396","Viruses","Uroviricota","Caudoviricetes","","Saparoviridae",NA,NA
"2955598","Viruses","Uroviricota","Caudoviricetes","","Assiduviridae",NA,NA
"10376","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA,NA
"10279","Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA,NA
"2955923","Viruses","Uroviricota","Caudoviricetes","","Forsetiviridae",NA,NA
"2843629","Viruses","Uroviricota","Caudoviricetes","","Straboviridae",NA,NA
"2948808","Viruses","Uroviricota","Caudoviricetes","","Vilmaviridae",NA,NA
"1849539","Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Alternaviridae",NA,NA
"1120751","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae",NA,NA
"2956429","Viruses","Uroviricota","Caudoviricetes","Kirjokansivirales","Graaviviridae",NA,NA
"2845700","Viruses","Negarnaviricota","Monjiviricetes","Jingchuvirales","Chuviridae",NA,NA
"1983561","Viruses","Kitrinoviricota","Magsaviricetes","Nodamuvirales","Sinhaliviridae",NA,NA
"1980523","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Nairoviridae",NA,NA
"2560539","Viruses","Uroviricota","Caudoviricetes","","Demerecviridae",NA,NA
"2956390","Viruses","Uroviricota","Caudoviricetes","","Casjensviridae",NA,NA
"2955512","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Suoliviridae",NA,NA
"2844289","Viruses","Uroviricota","Caudoviricetes","","Duneviridae",NA,NA
"2844158","Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae",NA,NA
"10497","Viruses","Nucleocytoviricota","Pokkesviricetes","Asfuvirales","Asfarviridae",NA,NA
"2843841","Viruses","Taleaviricota","Tokiviricetes","Primavirales","Tristromaviridae",NA,NA
"2734466","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae",NA,NA
"285013","Viruses","","","","Bicaudaviridae",NA,NA
"40058","Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae",NA,NA
"2948826","Viruses","Uroviricota","Caudoviricetes","","Molycolviridae",NA,NA
"2560707","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae",NA,NA
"2846603","Viruses","Uroviricota","Caudoviricetes","","Zobellviridae",NA,NA
"1080799","Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae",NA,NA
"346882","Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae",NA,NA
"28355","Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae",NA,NA
"1159907","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae",NA,NA
