"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1094892","Viruses","Nucleocytoviricota",NA,NA,NA,NA,NA
"1982251","Viruses","Uroviricota",NA,NA,NA,NA,NA
"369960","Viruses","Artverviricota",NA,NA,NA,NA,NA
"119164","Viruses","Pisuviricota",NA,NA,NA,NA,NA
"1891726","Viruses","Cossaviricota",NA,NA,NA,NA,NA
"2011088","Viruses","Hofneiviricota",NA,NA,NA,NA,NA
"2844585","Viruses","Cressdnaviricota",NA,NA,NA,NA,NA
"1513278","Viruses","Kitrinoviricota",NA,NA,NA,NA,NA
"2747343","Viruses","Saleviricota",NA,NA,NA,NA,NA
"10376","Viruses","Peploviricota",NA,NA,NA,NA,NA
"40058","Viruses","Duplornaviricota",NA,NA,NA,NA,NA
"2560707","Viruses","Negarnaviricota",NA,NA,NA,NA,NA
"346882","Viruses","Taleaviricota",NA,NA,NA,NA,NA
"2955317","Viruses","Dividoviricota",NA,NA,NA,NA,NA
"130309","Viruses","Preplasmiviricota",NA,NA,NA,NA,NA
"1655646","Viruses","Phixviricota",NA,NA,NA,NA,NA
"2956583","Viruses","Lenarviricota",NA,NA,NA,NA,NA
