"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"28090","Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA,NA
"100886","Bacteria","Bacillota","Erysipelotrichia",NA,NA,NA,NA
"1747","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,NA
"2710758","Bacteria","Chloroflexota","Candidatus Thermofonsia",NA,NA,NA,NA
"833","Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA,NA
"894","Bacteria","Thermodesulfobacteriota","Desulfobulbia",NA,NA,NA,NA
"288000","Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"297","Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA,NA
"2487072","Bacteria","Bacteroidota","Flavobacteriia",NA,NA,NA,NA
"2596915","Bacteria","Bacteroidota","Cytophagia",NA,NA,NA,NA
"1473598","Bacteria","Acidobacteriota","Terriglobia",NA,NA,NA,NA
"2874846","Archaea","Euryarchaeota","Candidatus Methanoliparia",NA,NA,NA,NA
"119219","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"29370","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"29466","Bacteria","Bacillota","Negativicutes",NA,NA,NA,NA
"74426","Bacteria","Actinomycetota","Coriobacteriia",NA,NA,NA,NA
"191495","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"2722752","Bacteria","Actinomycetota","Acidimicrobiia",NA,NA,NA,NA
"1608957","Bacteria","Actinomycetota","Nitriliruptoria",NA,NA,NA,NA
"119532","Bacteria","Cyanobacteriota","Cyanophyceae",NA,NA,NA,NA
"2080419","Bacteria","Deinococcota","Deinococci",NA,NA,NA,NA
"2782163","Bacteria","Mycoplasmatota","Candidatus Izimaplasma",NA,NA,NA,NA
"3004094","Bacteria","Chloroflexota","Tepidiformia",NA,NA,NA,NA
"2509675","Bacteria","Chloroflexota","Ktedonobacteria",NA,NA,NA,NA
"1005039","Bacteria","Armatimonadota","Fimbriimonadia",NA,NA,NA,NA
"165179","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"2502779","Bacteria","Bacteroidota","Chitinophagia",NA,NA,NA,NA
"2350","Bacteria","Bacteroidota","Saprospiria",NA,NA,NA,NA
"861299","Bacteria","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA,NA
"2528023","Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA,NA
"2807512","Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA,NA
"174633","Bacteria","Planctomycetota","Candidatus Brocadiia",NA,NA,NA,NA
"1307763","Bacteria","Kiritimatiellota","Kiritimatiellia",NA,NA,NA,NA
"1658616","Bacteria","Lentisphaerota","Lentisphaeria",NA,NA,NA,NA
"83451","Bacteria","Myxococcota","Myxococcia",NA,NA,NA,NA
"876","Bacteria","Thermodesulfobacteriota","Desulfovibrionia",NA,NA,NA,NA
"2802975","Bacteria","Thermodesulfobacteriota","Desulfuromonadia",NA,NA,NA,NA
"45655","Bacteria","Thermodesulfobacteriota","Desulfobacteria",NA,NA,NA,NA
"1653476","Bacteria","Thermodesulfobacteriota","Thermodesulfobacteria",NA,NA,NA,NA
"1621989","Bacteria","Thermodesulfobacteriota","Candidatus Desulfofervidia",NA,NA,NA,NA
"2358","Bacteria","Thermodesulfobacteriota","Desulfomonilia",NA,NA,NA,NA
"2818388","Bacteria","Acidobacteriota","Holophagae",NA,NA,NA,NA
"851","Bacteria","Fusobacteriota","Fusobacteriia",NA,NA,NA,NA
"959","Bacteria","Bdellovibrionota","Bdellovibrionia",NA,NA,NA,NA
"673862","Bacteria","","Candidatus Babeliae",NA,NA,NA,NA
"2292766","Bacteria","","Deltaproteobacteria",NA,NA,NA,NA
"423605","Bacteria","Elusimicrobiota","Elusimicrobia",NA,NA,NA,NA
"2208","Archaea","Euryarchaeota","Methanomicrobia",NA,NA,NA,NA
"1291540","Archaea","Candidatus Thermoplasmatota","Thermoplasmata",NA,NA,NA,NA
"1260","Bacteria","Bacillota","Tissierellia",NA,NA,NA,NA
"28454","Bacteria","Bacteroidota","Sphingobacteriia",NA,NA,NA,NA
"28198","Bacteria","Campylobacterota","Epsilonproteobacteria",NA,NA,NA,NA
"458032","Bacteria","Acidobacteriota","Blastocatellia",NA,NA,NA,NA
"239935","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA,NA
"1882749","Bacteria","Verrucomicrobiota","Opitutae",NA,NA,NA,NA
"2984951","Bacteria","Thermotogota","Thermotogae",NA,NA,NA,NA
"1408204","Bacteria","Elusimicrobiota","Endomicrobiia",NA,NA,NA,NA
"1353260","Archaea","Nitrososphaerota","Nitrososphaeria",NA,NA,NA,NA
"1806508","Bacteria","Chloroflexota","Ardenticatenia",NA,NA,NA,NA
"28262","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA,NA
"2057","Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA,NA
"2802971","Bacteria","Acidobacteriota","Vicinamibacteria",NA,NA,NA,NA
"49319","Bacteria","Actinomycetota","Rubrobacteria",NA,NA,NA,NA
"1282","Bacteria","Bacillota","Bacilli",NA,NA,NA,NA
"1555112","Bacteria","Bacillota","Limnochordia",NA,NA,NA,NA
"295596","Bacteria","Mycoplasmatota","Mollicutes",NA,NA,NA,NA
"61435","Bacteria","Chloroflexota","Dehalococcoidia",NA,NA,NA,NA
"120962","Bacteria","Chloroflexota","Chloroflexia",NA,NA,NA,NA
"33059","Bacteria","Pseudomonadota","Acidithiobacillia",NA,NA,NA,NA
"1704307","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"60893","Bacteria","Thermodesulfobacteriota","Desulfobaccia",NA,NA,NA,NA
"316277","Bacteria","Thermodesulfobacteriota","Syntrophia",NA,NA,NA,NA
"2572088","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonadia",NA,NA,NA,NA
"651822","Bacteria","Synergistota","Synergistia",NA,NA,NA,NA
"187145","Bacteria","Calditrichota","Calditrichia",NA,NA,NA,NA
"513050","Bacteria","Dictyoglomota","Dictyoglomia",NA,NA,NA,NA
"42253","Bacteria","Nitrospirota","Nitrospiria",NA,NA,NA,NA
"39152","Archaea","Euryarchaeota","Methanococci",NA,NA,NA,NA
"2320","Archaea","Euryarchaeota","Methanopyri",NA,NA,NA,NA
"282676","Archaea","Thermoproteota","Thermoprotei",NA,NA,NA,NA
"1874277","Archaea","Nitrososphaerota","Conexivisphaeria",NA,NA,NA,NA
"1921086","Bacteria","Pseudomonadota","Zetaproteobacteria",NA,NA,NA,NA
"591197","Bacteria","Ignavibacteriota","Ignavibacteria",NA,NA,NA,NA
"84405","Bacteria","Campylobacterota","Desulfurellia",NA,NA,NA,NA
"2596890","Bacteria","Planctomycetota","Candidatus Uabimicrobiia",NA,NA,NA,NA
"389348","Bacteria","Chlamydiota","Chlamydiia",NA,NA,NA,NA
"119484","Bacteria","Thermodesulfobacteriota","Syntrophobacteria",NA,NA,NA,NA
"453230","Bacteria","Thermodesulfobacteriota","Desulfarculia",NA,NA,NA,NA
"167","Bacteria","Spirochaetota","Spirochaetia",NA,NA,NA,NA
"2493639","Bacteria","Bdellovibrionota","Oligoflexia",NA,NA,NA,NA
"960","Bacteria","Bdellovibrionota","Bacteriovoracia",NA,NA,NA,NA
"2173","Archaea","Euryarchaeota","Methanobacteria",NA,NA,NA,NA
"2263","Archaea","Euryarchaeota","Thermococci",NA,NA,NA,NA
"54261","Archaea","Euryarchaeota","Archaeoglobi",NA,NA,NA,NA
"2586965","Archaea","Nanoarchaeota","Nanobdellia",NA,NA,NA,NA
"2565781","Archaea","Candidatus Nanohaloarchaeota","Candidatus Nanohalobia",NA,NA,NA,NA
"133453","Bacteria","Chloroflexota","Caldilineae",NA,NA,NA,NA
"1457365","Bacteria","Balneolota","Balneolia",NA,NA,NA,NA
"431057","Bacteria","Verrucomicrobiota","Methylacidiphilae",NA,NA,NA,NA
"118000","Bacteria","Deferribacterota","Deferribacteres",NA,NA,NA,NA
"936456","Bacteria","Chrysiogenota","Chrysiogenetes",NA,NA,NA,NA
"2847778","Bacteria","Atribacterota","Atribacteria",NA,NA,NA,NA
"1632019","Bacteria","Aquificota","Aquificae",NA,NA,NA,NA
"35786","Bacteria","Coprothermobacterota","Coprothermobacteria",NA,NA,NA,NA
"2697043","Bacteria","Kiritimatiellota","Tichowtungiia",NA,NA,NA,NA
"693075","Bacteria","Caldisericota","Caldisericia",NA,NA,NA,NA
"2933293","Archaea","Euryarchaeota","Methanonatronarchaeia",NA,NA,NA,NA
"274537","Bacteria","Chlorobiota","Chlorobiia",NA,NA,NA,NA
"454171","Bacteria","Armatimonadota","Chthonomonadetes",NA,NA,NA,NA
"167964","Bacteria","Chloroflexota","Anaerolineae",NA,NA,NA,NA
"179637","Archaea","Euryarchaeota","Halobacteria",NA,NA,NA,NA
"2282148","Archaea","Candidatus Micrarchaeota","Candidatus Micrarchaeia",NA,NA,NA,NA
