"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"316","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA
"343874","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"274537","Bacteria","Chlorobiota",NA,NA,NA,NA,NA
"591197","Bacteria","Ignavibacteriota",NA,NA,NA,NA,NA
"861299","Bacteria","Gemmatimonadota",NA,NA,NA,NA,NA
"833","Bacteria","Fibrobacterota",NA,NA,NA,NA,NA
"456827","Bacteria","Candidatus Cloacimonetes",NA,NA,NA,NA,NA
"1280","Bacteria","Bacillota",NA,NA,NA,NA,NA
"1747","Bacteria","Actinomycetota",NA,NA,NA,NA,NA
"119532","Bacteria","Cyanobacteriota",NA,NA,NA,NA,NA
"980427","Bacteria","Deinococcota",NA,NA,NA,NA,NA
"1806508","Bacteria","Chloroflexota",NA,NA,NA,NA,NA
"2057","Bacteria","Thermomicrobiota",NA,NA,NA,NA,NA
"1005039","Bacteria","Armatimonadota",NA,NA,NA,NA,NA
"2528023","Bacteria","Planctomycetota",NA,NA,NA,NA,NA
"239935","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA
"225148","Bacteria","Chlamydiota",NA,NA,NA,NA,NA
"1307763","Bacteria","Kiritimatiellota",NA,NA,NA,NA,NA
"83451","Bacteria","Myxococcota",NA,NA,NA,NA,NA
"2802975","Bacteria","Thermodesulfobacteriota",NA,NA,NA,NA,NA
"158","Bacteria","Spirochaetota",NA,NA,NA,NA,NA
"2984951","Bacteria","Thermotogota",NA,NA,NA,NA,NA
"851","Bacteria","Fusobacteriota",NA,NA,NA,NA,NA
"2802971","Bacteria","Acidobacteriota",NA,NA,NA,NA,NA
"651822","Bacteria","Synergistota",NA,NA,NA,NA,NA
"959","Bacteria","Bdellovibrionota",NA,NA,NA,NA,NA
"2026885","Bacteria","Candidatus Bipolaricaulota",NA,NA,NA,NA,NA
"42253","Bacteria","Nitrospirota",NA,NA,NA,NA,NA
"197162","Bacteria","Deferribacterota",NA,NA,NA,NA,NA
"14","Bacteria","Dictyoglomota",NA,NA,NA,NA,NA
"693075","Bacteria","Caldisericota",NA,NA,NA,NA,NA
"1408281","Bacteria","Elusimicrobiota",NA,NA,NA,NA,NA
"9606","Eukaryota","Chordata",NA,NA,NA,NA,NA
"179637","Archaea","Euryarchaeota",NA,NA,NA,NA,NA
"1353260","Archaea","Nitrososphaerota",NA,NA,NA,NA,NA
"1673428","Archaea","Candidatus Thermoplasmatota",NA,NA,NA,NA,NA
"2594042","Archaea","Candidatus Lokiarchaeota",NA,NA,NA,NA,NA
"2586965","Archaea","Nanoarchaeota",NA,NA,NA,NA,NA
"1457365","Bacteria","Balneolota",NA,NA,NA,NA,NA
"1658616","Bacteria","Lentisphaerota",NA,NA,NA,NA,NA
"28198","Bacteria","Campylobacterota",NA,NA,NA,NA,NA
"309806","Bacteria","Aquificota",NA,NA,NA,NA,NA
"35786","Bacteria","Coprothermobacterota",NA,NA,NA,NA,NA
"2899133","Bacteria","Candidatus Saccharibacteria",NA,NA,NA,NA,NA
"187145","Bacteria","Calditrichota",NA,NA,NA,NA,NA
"936456","Bacteria","Chrysiogenota",NA,NA,NA,NA,NA
"985782","Viruses","Nucleocytoviricota",NA,NA,NA,NA,NA
"129951","Viruses","Preplasmiviricota",NA,NA,NA,NA,NA
"2713640","Viruses","Artverviricota",NA,NA,NA,NA,NA
"2102","Bacteria","Mycoplasmatota",NA,NA,NA,NA,NA
"1930593","Bacteria","Candidatus Omnitrophica",NA,NA,NA,NA,NA
"2735562","Bacteria","Candidatus Absconditabacteria",NA,NA,NA,NA,NA
"2847778","Bacteria","Atribacterota",NA,NA,NA,NA,NA
"5761","Eukaryota","Heterolobosea",NA,NA,NA,NA,NA
"13642","Eukaryota","Evosea",NA,NA,NA,NA,NA
"184117","Archaea","Thermoproteota",NA,NA,NA,NA,NA
"498846","Archaea","Candidatus Korarchaeota",NA,NA,NA,NA,NA
"2565781","Archaea","Candidatus Nanohaloarchaeota",NA,NA,NA,NA,NA
"1982251","Viruses","Uroviricota",NA,NA,NA,NA,NA
"1920749","Archaea","Candidatus Micrarchaeota",NA,NA,NA,NA,NA
"2011088","Viruses","Hofneiviricota",NA,NA,NA,NA,NA
"3708","Eukaryota","Streptophyta",NA,NA,NA,NA,NA
"10376","Viruses","Peploviricota",NA,NA,NA,NA,NA
"2049890","Viruses","Dividoviricota",NA,NA,NA,NA,NA
"119164","Viruses","Pisuviricota",NA,NA,NA,NA,NA
"2734494","Viruses","Negarnaviricota",NA,NA,NA,NA,NA
"1177751","Viruses","Kitrinoviricota",NA,NA,NA,NA,NA
"337051","Viruses","Cossaviricota",NA,NA,NA,NA,NA
"157897","Viruses","Taleaviricota",NA,NA,NA,NA,NA
"1640277","Viruses","Duplornaviricota",NA,NA,NA,NA,NA
"1080349","Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"2734333","Viruses","Saleviricota",NA,NA,NA,NA,NA
"67476","Eukaryota","Bacillariophyta",NA,NA,NA,NA,NA
"1655646","Viruses","Phixviricota",NA,NA,NA,NA,NA
"2844505","Viruses","Cressdnaviricota",NA,NA,NA,NA,NA
"1856767","Viruses","Lenarviricota",NA,NA,NA,NA,NA
