"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2169636","Viruses","Uroviricota","Caudoviricetes","","","Nymphadoravirus",NA
"2843752","Viruses","Uroviricota","Caudoviricetes","","","Jarrellvirus",NA
"2846050","Viruses","Uroviricota","Caudoviricetes","","","Rahariannevirus",NA
"2734278","Viruses","Uroviricota","Caudoviricetes","","","Seussvirus",NA
"393598","Viruses","Uroviricota","Caudoviricetes","","Peduoviridae","Bielevirus",NA
"1922246","Viruses","Uroviricota","Caudoviricetes","","","Sextaecvirus",NA
"2956180","Viruses","Uroviricota","Caudoviricetes","Crassvirales","Steigviridae","Mahstovirus",NA
"2955917","Viruses","Uroviricota","Caudoviricetes","","","Foxquatrovirus",NA
"1623305","Viruses","Uroviricota","Caudoviricetes","","","Skunavirus",NA
"2844164","Viruses","Uroviricota","Caudoviricetes","","Schitoviridae","Waedenswilvirus",NA
"1980937","Viruses","Uroviricota","Caudoviricetes","","","Emdodecavirus",NA
"1921018","Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Nitunavirus",NA
"2956387","Viruses","Uroviricota","Caudoviricetes","Kirjokansivirales","Haloferuviridae","Saldibavirus",NA
"2845079","Viruses","Uroviricota","Caudoviricetes","","","Marfavirus",NA
"2734268","Viruses","Uroviricota","Caudoviricetes","","","Rogerhendrixvirus",NA
"2560251","Viruses","Uroviricota","Caudoviricetes","","","Vividuovirus",NA
"2956376","Viruses","Uroviricota","Caudoviricetes","","","Rosariovirus",NA
"2560307","Viruses","Uroviricota","Caudoviricetes","","","Amigovirus",NA
"2948946","Viruses","Uroviricota","Caudoviricetes","","","Veracruzvirus",NA
"2955533","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Bragavirus",NA
"1504288","Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Macavirus",NA
"592206","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus",NA
"1349409","Viruses","","","","","Pandoravirus",NA
"2843640","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Zedzedvirus",NA
"2955964","Viruses","Uroviricota","Caudoviricetes","","Straboviridae","Gualtarvirus",NA
