"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"316","Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA,NA
"288000","Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"2861282","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"33059","Bacteria","Pseudomonadota","Acidithiobacillia",NA,NA,NA,NA
"297","Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA,NA
"343874","Bacteria","Bacteroidota","Flavobacteriia",NA,NA,NA,NA
"2482728","Bacteria","Bacteroidota","Sphingobacteriia",NA,NA,NA,NA
"2596915","Bacteria","Bacteroidota","Cytophagia",NA,NA,NA,NA
"165179","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"2502779","Bacteria","Bacteroidota","Chitinophagia",NA,NA,NA,NA
"2350","Bacteria","Bacteroidota","Saprospiria",NA,NA,NA,NA
"274537","Bacteria","Chlorobiota","Chlorobiia",NA,NA,NA,NA
"591197","Bacteria","Ignavibacteriota","Ignavibacteria",NA,NA,NA,NA
"861299","Bacteria","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA,NA
"833","Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA,NA
"1280","Bacteria","Bacillota","Bacilli",NA,NA,NA,NA
"29370","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"100886","Bacteria","Bacillota","Erysipelotrichia",NA,NA,NA,NA
"29466","Bacteria","Bacillota","Negativicutes",NA,NA,NA,NA
"1260","Bacteria","Bacillota","Tissierellia",NA,NA,NA,NA
"1747","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,NA
"74426","Bacteria","Actinomycetota","Coriobacteriia",NA,NA,NA,NA
"2884022","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"49319","Bacteria","Actinomycetota","Rubrobacteria",NA,NA,NA,NA
"2722752","Bacteria","Actinomycetota","Acidimicrobiia",NA,NA,NA,NA
"1608957","Bacteria","Actinomycetota","Nitriliruptoria",NA,NA,NA,NA
"119532","Bacteria","Cyanobacteriota","Cyanophyceae",NA,NA,NA,NA
"2782163","Bacteria","Mycoplasmatota","Candidatus Izimaplasma",NA,NA,NA,NA
"980427","Bacteria","Deinococcota","Deinococci",NA,NA,NA,NA
"133453","Bacteria","Chloroflexota","Caldilineae",NA,NA,NA,NA
"3004094","Bacteria","Chloroflexota","Tepidiformia",NA,NA,NA,NA
"120962","Bacteria","Chloroflexota","Chloroflexia",NA,NA,NA,NA
"2509675","Bacteria","Chloroflexota","Ktedonobacteria",NA,NA,NA,NA
"1806508","Bacteria","Chloroflexota","Ardenticatenia",NA,NA,NA,NA
"167964","Bacteria","Chloroflexota","Anaerolineae",NA,NA,NA,NA
"2057","Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA,NA
"1005039","Bacteria","Armatimonadota","Fimbriimonadia",NA,NA,NA,NA
"84405","Bacteria","Campylobacterota","Desulfurellia",NA,NA,NA,NA
"2528023","Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA,NA
"2807512","Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA,NA
"174633","Bacteria","Planctomycetota","Candidatus Brocadiia",NA,NA,NA,NA
"239935","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA,NA
"1882749","Bacteria","Verrucomicrobiota","Opitutae",NA,NA,NA,NA
"225148","Bacteria","Chlamydiota","Chlamydiia",NA,NA,NA,NA
"1307763","Bacteria","Kiritimatiellota","Kiritimatiellia",NA,NA,NA,NA
"83451","Bacteria","Myxococcota","Myxococcia",NA,NA,NA,NA
"876","Bacteria","Thermodesulfobacteriota","Desulfovibrionia",NA,NA,NA,NA
"2802975","Bacteria","Thermodesulfobacteriota","Desulfuromonadia",NA,NA,NA,NA
"894","Bacteria","Thermodesulfobacteriota","Desulfobulbia",NA,NA,NA,NA
