"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"592206","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales",NA,NA,NA
"985782","Viruses","Nucleocytoviricota","Megaviricetes","Imitervirales",NA,NA,NA
"129951","Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales",NA,NA,NA
"2713640","Viruses","Artverviricota","Revtraviricetes","Ortervirales",NA,NA,NA
"2955413","Viruses","Uroviricota","Caudoviricetes","Kirjokansivirales",NA,NA,NA
"2023057","Viruses","Nucleocytoviricota","Megaviricetes","Algavirales",NA,NA,NA
"2560356","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales",NA,NA,NA
"2011088","Viruses","Hofneiviricota","Faserviricetes","Tubulavirales",NA,NA,NA
"56947","Viruses","","Naldaviricetes","Lefavirales",NA,NA,NA
"2955582","Viruses","Uroviricota","Caudoviricetes","Crassvirales",NA,NA,NA
"2843389","Viruses","Uroviricota","Caudoviricetes","Thumleimavirales",NA,NA,NA
"10376","Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA,NA
"10279","Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales",NA,NA,NA
"10497","Viruses","Nucleocytoviricota","Pokkesviricetes","Asfuvirales",NA,NA,NA
"2704413","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales",NA,NA,NA
"2049890","Viruses","Dividoviricota","Laserviricetes","Halopanivirales",NA,NA,NA
"119164","Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales",NA,NA,NA
"290028","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales",NA,NA,NA
"2734494","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales",NA,NA,NA
"1972584","Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales",NA,NA,NA
"1177751","Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales",NA,NA,NA
"337051","Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA,NA
"1891726","Viruses","Cossaviricota","Papovaviricetes","Sepolyvirales",NA,NA,NA
"157897","Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales",NA,NA,NA
"31742","Viruses","Pisuviricota","Stelpaviricetes","Patatavirales",NA,NA,NA
"1640277","Viruses","Duplornaviricota","Resentoviricetes","Reovirales",NA,NA,NA
"1557034","Viruses","Preplasmiviricota","Maveriviricetes","Priklausovirales",NA,NA,NA
"1285589","Viruses","Cossaviricota","Mouviricetes","Polivirales",NA,NA,NA
"2056780","Viruses","Cressdnaviricota","Arfiviricetes","Mulpavirales",NA,NA,NA
"2956190","Viruses","Uroviricota","Caudoviricetes","Methanobavirales",NA,NA,NA
"2955320","Viruses","Pisuviricota","","Yadokarivirales",NA,NA,NA
"2732655","Viruses","Cressdnaviricota","Arfiviricetes","Recrevirales",NA,NA,NA
"2734333","Viruses","Saleviricota","Huolimaviricetes","Haloruvirales",NA,NA,NA
"2843841","Viruses","Taleaviricota","Tokiviricetes","Primavirales",NA,NA,NA
"2170111","Viruses","Cressdnaviricota","Arfiviricetes","Cremevirales",NA,NA,NA
"2846071","Viruses","Kitrinoviricota","Alsuviricetes","Hepelivirales",NA,NA,NA
"2508254","Viruses","Negarnaviricota","Yunchangviricetes","Goujianvirales",NA,NA,NA
"2956616","Viruses","Lenarviricota","Howeltoviricetes","Cryppavirales",NA,NA,NA
"2845804","Viruses","Lenarviricota","Leviviricetes","Norzivirales",NA,NA,NA
"2955242","Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales",NA,NA,NA
"269145","Viruses","Preplasmiviricota","Tectiliviricetes","Belfryvirales",NA,NA,NA
"2746926","Viruses","Cossaviricota","Quintoviricetes","Piccovirales",NA,NA,NA
"1655646","Viruses","Phixviricota","Malgrandaviricetes","Petitvirales",NA,NA,NA
"35279","Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales",NA,NA,NA
"2170045","Viruses","Negarnaviricota","Milneviricetes","Serpentovirales",NA,NA,NA
"1891704","Viruses","Pisuviricota","Duplopiviricetes","Durnavirales",NA,NA,NA
"2170145","Viruses","Cressdnaviricota","Arfiviricetes","Baphyvirales",NA,NA,NA
"2507500","Viruses","Negarnaviricota","Chunqiuviricetes","Muvirales",NA,NA,NA
"2220003","Viruses","Pisuviricota","Stelpaviricetes","Stellavirales",NA,NA,NA
"1352511","Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales",NA,NA,NA
"341938","Viruses","Preplasmiviricota","Tectiliviricetes","Kalamavirales",NA,NA,NA
"2844505","Viruses","Cressdnaviricota","Repensiviricetes","Geplafuvirales",NA,NA,NA
"2169857","Viruses","Duplornaviricota","Vidaverviricetes","Mindivirales",NA,NA,NA
"1983561","Viruses","Kitrinoviricota","Magsaviricetes","Nodamuvirales",NA,NA,NA
"2845619","Viruses","Negarnaviricota","Monjiviricetes","Jingchuvirales",NA,NA,NA
"2956349","Viruses","Negarnaviricota","Insthoviricetes","Articulavirales",NA,NA,NA
"2560654","Viruses","Preplasmiviricota","Tectiliviricetes","Vinavirales",NA,NA,NA
"1856767","Viruses","Lenarviricota","Amabiliviricetes","Wolframvirales",NA,NA,NA
"12639","Viruses","Artverviricota","Revtraviricetes","Blubervirales",NA,NA,NA
"2560744","Viruses","Lenarviricota","Miaviricetes","Ourlivirales",NA,NA,NA
"2843923","Viruses","Lenarviricota","Leviviricetes","Timlovirales",NA,NA,NA
"1634476","Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales",NA,NA,NA
