"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"985782","Viruses","Nucleocytoviricota",NA,NA,NA,NA,NA
"129951","Viruses","Preplasmiviricota",NA,NA,NA,NA,NA
"2713640","Viruses","Artverviricota",NA,NA,NA,NA,NA
"1982251","Viruses","Uroviricota",NA,NA,NA,NA,NA
"2011088","Viruses","Hofneiviricota",NA,NA,NA,NA,NA
"10376","Viruses","Peploviricota",NA,NA,NA,NA,NA
"2049890","Viruses","Dividoviricota",NA,NA,NA,NA,NA
"119164","Viruses","Pisuviricota",NA,NA,NA,NA,NA
"2734494","Viruses","Negarnaviricota",NA,NA,NA,NA,NA
"1177751","Viruses","Kitrinoviricota",NA,NA,NA,NA,NA
"337051","Viruses","Cossaviricota",NA,NA,NA,NA,NA
"157897","Viruses","Taleaviricota",NA,NA,NA,NA,NA
"1640277","Viruses","Duplornaviricota",NA,NA,NA,NA,NA
"2734333","Viruses","Saleviricota",NA,NA,NA,NA,NA
"1655646","Viruses","Phixviricota",NA,NA,NA,NA,NA
"2844505","Viruses","Cressdnaviricota",NA,NA,NA,NA,NA
"1856767","Viruses","Lenarviricota",NA,NA,NA,NA,NA
