"OTU","Level","abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"9606","Phylum",1019691547,"Eukaryota","Chordata",NA,NA,NA,NA
"316","Phylum",855575815,"Bacteria","Pseudomonadota",NA,NA,NA,NA
"1747","Phylum",292612792,"Bacteria","Actinomycetota",NA,NA,NA,NA
"1280","Phylum",184708059,"Bacteria","Bacillota",NA,NA,NA,NA
"343874","Phylum",35934307,"Bacteria","Bacteroidota",NA,NA,NA,NA
"980427","Phylum",6895120,"Bacteria","Deinococcota",NA,NA,NA,NA
"119532","Phylum",4254921,"Bacteria","Cyanobacteriota",NA,NA,NA,NA
"83451","Phylum",3226071,"Bacteria","Myxococcota",NA,NA,NA,NA
"179637","Phylum",2281885,"Archaea","Euryarchaeota",NA,NA,NA,NA
"2528023","Phylum",1923403,"Bacteria","Planctomycetota",NA,NA,NA,NA
"851","Phylum",1568927,"Bacteria","Fusobacteriota",NA,NA,NA,NA
"28198","Phylum",1045511,"Bacteria","Campylobacterota",NA,NA,NA,NA
"2802975","Phylum",929735,"Bacteria","Thermodesulfobacteriota",NA,NA,NA,NA
"1982251","Phylum",878259,"Viruses","Uroviricota",NA,NA,NA,NA
"2802971","Phylum",703703,"Bacteria","Acidobacteriota",NA,NA,NA,NA
"2102","Phylum",462039,"Bacteria","Mycoplasmatota",NA,NA,NA,NA
"861299","Phylum",440779,"Bacteria","Gemmatimonadota",NA,NA,NA,NA
"158","Phylum",433807,"Bacteria","Spirochaetota",NA,NA,NA,NA
"239935","Phylum",425690,"Bacteria","Verrucomicrobiota",NA,NA,NA,NA
"1806508","Phylum",208836,"Bacteria","Chloroflexota",NA,NA,NA,NA
"2899133","Phylum",126138,"Bacteria","Candidatus Saccharibacteria",NA,NA,NA,NA
"184117","Phylum",114467,"Archaea","Thermoproteota",NA,NA,NA,NA
"2984951","Phylum",104837,"Bacteria","Thermotogota",NA,NA,NA,NA
"1353260","Phylum",101307,"Archaea","Nitrososphaerota",NA,NA,NA,NA
"959","Phylum",100792,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"651822","Phylum",68106,"Bacteria","Synergistota",NA,NA,NA,NA
"2057","Phylum",58458,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"42253","Phylum",58140,"Bacteria","Nitrospirota",NA,NA,NA,NA
"225148","Phylum",57628,"Bacteria","Chlamydiota",NA,NA,NA,NA
"274537","Phylum",55407,"Bacteria","Chlorobiota",NA,NA,NA,NA
"985782","Phylum",54563,"Viruses","Nucleocytoviricota",NA,NA,NA,NA
"197162","Phylum",27891,"Bacteria","Deferribacterota",NA,NA,NA,NA
"309806","Phylum",24080,"Bacteria","Aquificota",NA,NA,NA,NA
"1005039","Phylum",21724,"Bacteria","Armatimonadota",NA,NA,NA,NA
"10376","Phylum",20828,"Viruses","Peploviricota",NA,NA,NA,NA
"1673428","Phylum",15906,"Archaea","Candidatus Thermoplasmatota",NA,NA,NA,NA
"1307763","Phylum",15326,"Bacteria","Kiritimatiellota",NA,NA,NA,NA
"591197","Phylum",11770,"Bacteria","Ignavibacteriota",NA,NA,NA,NA
"1408281","Phylum",8313,"Bacteria","Elusimicrobiota",NA,NA,NA,NA
"187145","Phylum",6956,"Bacteria","Calditrichota",NA,NA,NA,NA
"1457365","Phylum",5673,"Bacteria","Balneolota",NA,NA,NA,NA
