"OTU","Level","abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"9606","Order",1019691547,"Eukaryota","Chordata","Mammalia","Primates",NA,NA
"316","Order",291712378,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"543","Order",146397481,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA
"469","Order",132192372,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
"1280","Order",126935116,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
"1747","Order",100087449,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales",NA,NA
"1270","Order",87633189,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales",NA,NA
"2861282","Order",73201712,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,NA
"288000","Order",64434208,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA
"38304","Order",47278720,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales",NA,NA
"13690","Order",36421196,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA
"40324","Order",36046769,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",NA,NA
"29370","Order",31890883,"Bacteria","Bacillota","Clostridia","Eubacteriales",NA,NA
"59779","Order",24847315,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales",NA,NA
"193","Order",21805113,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA
"28037","Order",21376744,"Bacteria","Bacillota","Bacilli","Lactobacillales",NA,NA
"1883","Order",18579175,"Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales",NA,NA
"343874","Order",16075272,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales",NA,NA
"2596915","Order",9917037,"Bacteria","Bacteroidota","Cytophagia","Cytophagales",NA,NA
"41275","Order",9430242,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales",NA,NA
"2851567","Order",7768137,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales",NA,NA
"544580","Order",7670687,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales",NA,NA
"2070","Order",6678919,"Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales",NA,NA
"980427","Order",6630565,"Bacteria","Deinococcota","Deinococci","Deinococcales",NA,NA
"1873","Order",5877991,"Bacteria","Actinomycetota","Actinomycetes","Micromonosporales",NA,NA
"2482728","Order",4529569,"Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales",NA,NA
"165179","Order",4354102,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA
"490","Order",3759070,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales",NA,NA
"22","Order",2697058,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales",NA,NA
"1909395","Order",2531219,"Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales",NA,NA
"729","Order",2202247,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales",NA,NA
"642","Order",2131715,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"83451","Order",2088010,"Bacteria","Myxococcota","Myxococcia","Myxococcales",NA,NA
"2702","Order",1939627,"Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales",NA,NA
"2853227","Order",1796559,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales",NA,NA
"2745","Order",1790884,"Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales",NA,NA
"1260","Order",1590662,"Bacteria","Bacillota","Tissierellia","Tissierellales",NA,NA
"851","Order",1568927,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales",NA,NA
"29466","Order",1566693,"Bacteria","Bacillota","Negativicutes","Veillonellales",NA,NA
"85643","Order",1518814,"Bacteria","Pseudomonadota","Betaproteobacteria","Rhodocyclales",NA,NA
"49319","Order",1335044,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales",NA,NA
"2722752","Order",1194553,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales",NA,NA
"119532","Order",1106193,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales",NA,NA
"28198","Order",1018440,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales",NA,NA
"3019969","Order",979438,"Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales",NA,NA
"2884022","Order",922271,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA
"179637","Order",907636,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales",NA,NA
"662","Order",901895,"Bacteria","Pseudomonadota","Gammaproteobacteria","Vibrionales",NA,NA
"56","Order",893502,"Bacteria","Myxococcota","Myxococcia","Polyangiales",NA,NA
"2502779","Order",850434,"Bacteria","Bacteroidota","Chitinophagia","Chitinophagales",NA,NA
"2732067","Order",592549,"Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales",NA,NA
"2528023","Order",579105,"Bacteria","Planctomycetota","Planctomycetia","Gemmatales",NA,NA
"53461","Order",545867,"Bacteria","Actinomycetota","Actinomycetes","Nakamurellales",NA,NA
"2743089","Order",520681,"Archaea","Euryarchaeota","Halobacteria","Haloferacales",NA,NA
"1644061","Order",496180,"Archaea","Euryarchaeota","Halobacteria","Natrialbales",NA,NA
"298654","Order",456773,"Bacteria","Actinomycetota","Actinomycetes","Frankiales",NA,NA
"861299","Order",440779,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales",NA,NA
"2650471","Order",431731,"Bacteria","Planctomycetota","Planctomycetia","Pirellulales",NA,NA
"1219","Order",427528,"Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales",NA,NA
"74426","Order",406561,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales",NA,NA
"2303332","Order",404518,"Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales",NA,NA
"437897","Order",397646,"Bacteria","Bacillota","Negativicutes","Selenomonadales",NA,NA
"2527974","Order",390189,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales",NA,NA
"1636152","Order",366848,"Bacteria","Planctomycetota","Planctomycetia","Planctomycetales",NA,NA
"876","Order",359741,"Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales",NA,NA
"2802971","Order",340954,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"100886","Order",327534,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales",NA,NA
"158","Order",301679,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales",NA,NA
"1798224","Order",300776,"Bacteria","Actinomycetota","Actinomycetes","Jiangellales",NA,NA
"1760988","Order",296070,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales",NA,NA
"155894","Order",280203,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcidiopsidales",NA,NA
"2005460","Order",272648,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales",NA,NA
"392734","Order",263059,"Bacteria","Acidobacteriota","Terriglobia","Terriglobales",NA,NA
"1752064","Order",243869,"Bacteria","Cyanobacteriota","Cyanophyceae","Pseudanabaenales",NA,NA
