"OTU","Level","abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"9606","Phylum",1019691547,"Eukaryota","Chordata",NA,NA,NA,NA
"9606","Class",1019691547,"Eukaryota","Chordata","Mammalia",NA,NA,NA
"9606","Order",1019691547,"Eukaryota","Chordata","Mammalia","Primates",NA,NA
"9606","Family",1019691547,"Eukaryota","Chordata","Mammalia","Primates","Hominidae",NA
"9606","Genus",1019691547,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo"
"316","Phylum",855575815,"Bacteria","Pseudomonadota",NA,NA,NA,NA
"316","Class",618757355,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
"1747","Phylum",292612792,"Bacteria","Actinomycetota",NA,NA,NA,NA
"316","Order",291712378,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"316","Family",291506545,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
"1747","Class",288119720,"Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA
"316","Genus",227223542,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"1280","Phylum",184708059,"Bacteria","Bacillota",NA,NA,NA,NA
"288000","Class",157476883,"Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA
"1280","Class",148311860,"Bacteria","Bacillota","Bacilli",NA,NA,NA
"543","Order",146397481,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA
"469","Order",132192372,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
"469","Family",132192372,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
"1280","Order",126935116,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
"469","Genus",117201018,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
"543","Family",101107440,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA
"1747","Order",100087449,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales",NA,NA
"1270","Order",87633189,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales",NA,NA
"1747","Family",79516422,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae",NA
"2861282","Class",79121602,"Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA
"2861282","Order",73201712,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,NA
"1747","Genus",72833080,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"2936682","Family",67251194,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"288000","Order",64434208,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA
"286","Genus",58633296,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"38304","Order",47278720,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales",NA,NA
"2936682","Genus",41773446,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
"1270","Family",39764946,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae",NA
"1280","Family",38340331,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
"549","Family",37537514,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"1280","Genus",37527310,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"13690","Order",36421196,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA
"40324","Order",36046769,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",NA,NA
"343874","Phylum",35934307,"Bacteria","Bacteroidota",NA,NA,NA,NA
"40324","Family",35017217,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA
"29370","Class",32193955,"Bacteria","Bacillota","Clostridia",NA,NA,NA
"29370","Order",31890883,"Bacteria","Bacillota","Clostridia","Eubacteriales",NA,NA
"549","Genus",30275392,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"13690","Family",29382471,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"288000","Family",27966060,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
"288000","Genus",26695213,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"59779","Order",24847315,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales",NA,NA
"38304","Family",24460060,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae",NA
"38304","Genus",24460060,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"2861282","Family",24433767,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"40324","Genus",23777536,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"550","Genus",23597355,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"193","Order",21805113,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA
"28037","Order",21376744,"Bacteria","Bacillota","Bacilli","Lactobacillales",NA,NA
"59779","Family",21317190,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",NA
"546871","Family",19813194,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae",NA
"2861282","Genus",19715001,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
