	City	1	2	3	4	5	6	7
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	1903.0	2091.0	1350.0	670.0	422.0	615.0	465.0
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	3752.0	4192.0	2875.0	1341.0	906.0	1446.0	735.0
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	1546.0	1704.0	1208.0	555.0	379.0	529.0	412.0
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	3593.0	5115.0	5164.0	1436.0	1119.0	1336.0	1149.0
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	778.0	832.0	579.0	318.0	204.0	269.0	168.0
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	3817.0	4411.0	3136.0	1414.0	951.0	1208.0	802.0
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	409.0	417.0	283.0	146.0	77.0	81.0	77.0
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	1812.0	2240.0	1648.0	700.0	493.0	557.0	379.0
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	3119.0	3408.0	2234.0	1126.0	690.0	982.0	507.0
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	711.0	825.0	559.0	286.0	174.0	217.0	110.0
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	1736.0	1747.0	1165.0	606.0	321.0	426.0	318.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	1167.0	1547.0	1210.0	498.0	328.0	394.0	299.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	1148.0	1619.0	1213.0	516.0	351.0	399.0	278.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	2340.0	2856.0	1844.0	948.0	623.0	802.0	533.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	1230.0	2526.0	971.0	465.0	365.0	643.0	397.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	12460.0	37589.0	13139.0	5115.0	3813.0	5820.0	3647.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	6649.0	11972.0	7468.0	2391.0	1768.0	2578.0	1946.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	16491.0	37661.0	15731.0	6412.0	4847.0	7889.0	4570.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	10038.0	17289.0	8617.0	3691.0	2678.0	4184.0	2912.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	11804.0	77908.0	20244.0	5629.0	4535.0	6465.0	3670.0
CAMDA23_MetaSUB_gCSD16_BER_15	BER	13113.0	20742.0	11491.0	5342.0	3609.0	5126.0	3245.0
CAMDA23_MetaSUB_gCSD16_BER_2	BER	850.0	3055.0	857.0	347.0	268.0	467.0	349.0
CAMDA23_MetaSUB_gCSD16_BER_3	BER	458.0	1094.0	394.0	175.0	142.0	276.0	154.0
CAMDA23_MetaSUB_gCSD16_BER_4	BER	672.0	3314.0	661.0	270.0	253.0	407.0	171.0
CAMDA23_MetaSUB_gCSD16_BER_5	BER	1365.0	2193.0	1083.0	453.0	356.0	509.0	296.0
CAMDA23_MetaSUB_gCSD16_BER_6	BER	636.0	1748.0	924.0	264.0	238.0	329.0	211.0
